"id_maquina","id_planta","dia","tiempo_anios","tipo","fabricante","plan_mantenimiento","antiguedad_anios","carga","temperatura_observada","vibracion_observada","degradacion","mantenimiento_realizado","dias_desde_mant","mantenimiento_reciente","tiempo","fallo"
"M0001","P05",0,0,"Torno","B","Preventivo",14.9115258815808,0.842646829618075,41.8678726521647,2.6924968219033,4.10203002725501,FALSE,0,0,669.218994641162,1
"M0001","P05",30,0.0821917808219178,"Torno","B","Preventivo",14.9115258815808,0.85724767836861,46.1345408497735,2.83691354555958,1.81143350886707,FALSE,30,0,669.218994641162,1
"M0001","P05",60,0.164383561643836,"Torno","B","Preventivo",14.9115258815808,0.865800355904259,46.5244891638147,3.33515577911938,5.1079979204513,FALSE,60,0,669.218994641162,1
"M0001","P05",90,0.246575342465753,"Torno","B","Preventivo",14.9115258815808,0.888591774944689,48.6237070544616,3.78867227049292,4.10312066325482,FALSE,90,0,669.218994641162,1
"M0001","P05",120,0.328767123287671,"Torno","B","Preventivo",14.9115258815808,0.840312343757959,45.5072222128305,2.70587650659489,4.44042470770184,FALSE,120,0,669.218994641162,1
"M0001","P05",150,0.410958904109589,"Torno","B","Preventivo",14.9115258815808,0.919168096953666,45.4070847422155,4.49479503304874,5.43338034377047,FALSE,150,0,669.218994641162,1
"M0001","P05",180,0.493150684931507,"Torno","B","Preventivo",14.9115258815808,0.818276697048731,42.745416025098,NA,1.4484314460827,TRUE,0,1,669.218994641162,1
"M0001","P05",210,0.575342465753425,"Torno","B","Preventivo",14.9115258815808,0.823238845035985,42.4861105303643,3.70894235402749,2.15527074451451,FALSE,30,1,669.218994641162,1
"M0001","P05",240,0.657534246575342,"Torno","B","Preventivo",14.9115258815808,0.722599373014922,40.532374891606,2.96970768556811,2.55462691383516,FALSE,60,1,669.218994641162,1
"M0001","P05",270,0.73972602739726,"Torno","B","Preventivo",14.9115258815808,0.737242706583387,38.6275819130011,4.02387803815897,1.6993700725869,FALSE,90,1,669.218994641162,1
"M0001","P05",300,0.821917808219178,"Torno","B","Preventivo",14.9115258815808,0.865313067097419,45.6615953274435,4.23151019686189,1.63604894467405,FALSE,120,0,669.218994641162,1
"M0001","P05",330,0.904109589041096,"Torno","B","Preventivo",14.9115258815808,0.851088923585898,43.8838971242878,3.22469616952015,3.20626613645568,FALSE,150,0,669.218994641162,1
"M0001","P05",360,0.986301369863014,"Torno","B","Preventivo",14.9115258815808,0.83434300020295,44.5600666342758,4.14574091430661,1.687613391881,TRUE,0,1,669.218994641162,1
"M0001","P05",390,1.06849315068493,"Torno","B","Preventivo",14.9115258815808,0.867700630575958,46.4826488484555,4.24880752070236,1.94686003044949,FALSE,30,1,669.218994641162,1
"M0001","P05",420,1.15068493150685,"Torno","B","Preventivo",14.9115258815808,0.870930286519961,46.220896807145,NA,4.48259865198874,FALSE,60,1,669.218994641162,1
"M0001","P05",450,1.23287671232877,"Torno","B","Preventivo",14.9115258815808,0.870266167566165,47.549442309723,3.66297670960791,2.98895450222475,FALSE,90,1,669.218994641162,1
"M0001","P05",480,1.31506849315068,"Torno","B","Preventivo",14.9115258815808,0.969637652011249,50.9177401118376,3.93802026796168,3.54519846690826,FALSE,120,0,669.218994641162,1
"M0001","P05",510,1.3972602739726,"Torno","B","Preventivo",14.9115258815808,0.885243401230287,49.0978847329087,3.52880276422434,3.48948158777766,FALSE,150,0,669.218994641162,1
"M0001","P05",540,1.47945205479452,"Torno","B","Preventivo",14.9115258815808,0.845864061249191,46.6579874655171,4.43493478183572,2.74304090942786,FALSE,180,0,669.218994641162,1
"M0001","P05",570,1.56164383561644,"Torno","B","Preventivo",14.9115258815808,0.76931816595565,44.5809298514799,3.61671939649947,2.39799972071981,FALSE,210,0,669.218994641162,1
"M0001","P05",600,1.64383561643836,"Torno","B","Preventivo",14.9115258815808,0.735254041510288,40.101465522418,2.80722354843801,3.28105802045485,FALSE,240,0,669.218994641162,1
"M0001","P05",630,1.72602739726027,"Torno","B","Preventivo",14.9115258815808,0.837106021661942,NA,3.68778784766339,3.36255922237627,FALSE,270,0,669.218994641162,1
"M0001","P05",660,1.80821917808219,"Torno","B","Preventivo",14.9115258815808,0.731774431551554,39.7765620771885,NA,3.75693416408217,FALSE,300,0,669.218994641162,1
"M0002","P07",0,0,"Fresadora","A","Correctivo",8.66794752709964,0.532431476551238,30.1299576323633,0.752505741110305,0.722666937473782,FALSE,0,0,720,0
"M0002","P07",30,0.0821917808219178,"Fresadora","A","Correctivo",8.66794752709964,0.531694410716117,31.6052131302225,1.16116335106155,0.723603318997971,FALSE,30,0,720,0
"M0002","P07",60,0.164383561643836,"Fresadora","A","Correctivo",8.66794752709964,0.613570131335237,34.7943953148658,0.970081469709702,1.83778402729387,FALSE,60,0,720,0
"M0002","P07",90,0.246575342465753,"Fresadora","A","Correctivo",8.66794752709964,0.505315816410741,32.9976030920862,0.985403942730503,0.772721882628615,FALSE,90,0,720,0
"M0002","P07",120,0.328767123287671,"Fresadora","A","Correctivo",8.66794752709964,0.578561224756313,31.7425598933377,1.40814746135734,1.64933966937378,FALSE,120,0,720,0
"M0002","P07",150,0.410958904109589,"Fresadora","A","Correctivo",8.66794752709964,0.611230852628725,33.9238972671428,1.14026151141206,1.53840092115364,FALSE,150,0,720,0
"M0002","P07",180,0.493150684931507,"Fresadora","A","Correctivo",8.66794752709964,0.575380183637128,29.6677304046435,1.19600041241557,1.34440707717316,FALSE,180,0,720,0
"M0002","P07",210,0.575342465753425,"Fresadora","A","Correctivo",8.66794752709964,0.494919868793607,25.516066218703,1.14449773433197,0.57128368353775,FALSE,210,0,720,0
"M0002","P07",240,0.657534246575342,"Fresadora","A","Correctivo",8.66794752709964,0.448892855877127,24.7833686213875,1.00518700585052,1.46652181369794,FALSE,240,0,720,0
"M0002","P07",270,0.73972602739726,"Fresadora","A","Correctivo",8.66794752709964,0.555158046408372,24.1300053082147,1.09482644032826,1.58394271711523,FALSE,270,0,720,0
