"id_maquina","id_planta","dia","tipo","fabricante","antiguedad_anios","plan_mantenimiento","tipo_intervencion","carga","temperatura","vibracion","degradacion","coste_euros"
"M0001","P05",180,"Torno","B",14.9115258815808,"Preventivo","Preventiva",0.818276697048731,42.745416025098,3.16826991556484,1.4484314460827,1310.04998398937
"M0001","P05",360,"Torno","B",14.9115258815808,"Preventivo","Preventiva",0.83434300020295,44.5600666342758,4.14574091430661,1.687613391881,1191.09706754241
"M0003","P08",360,"Prensa","C",4.19246443178532,"Preventivo","Preventiva",0.441685667836437,30.3144448276191,1.6090283155415,1.47926381271322,638.780258565357
"M0003","P08",540,"Prensa","C",4.19246443178532,"Preventivo","Preventiva",0.484271874789722,33.1896713469389,1.21513870950523,1.13036900454416,1201.04918798858
"M0003","P08",720,"Prensa","C",4.19246443178532,"Preventivo","Preventiva",0.390170655140234,25.9784576292649,1.77361661320153,1.39274699168123,1164.99091534665
"M0006","P04",180,"Torno","C",13.6795364613762,"Preventivo","Preventiva",0.645767854892685,37.2861110751176,2.0871399758223,1.39672968251473,662.213049201519
"M0007","P08",180,"Fresadora","B",8.11565427205917,"Preventivo","Preventiva",0.855464385391083,36.500529406746,2.25358547026243,1.29857411139404,573.93833914547
"M0008","P03",540,"Fresadora","B",6.30898851682297,"Preventivo","Preventiva",0.772960608652581,46.0765203205174,1.38492096909593,0.621862040629089,326.505456289911
"M0009","P05",180,"Torno","A",5.43267065730236,"Preventivo","Preventiva",0.413163062634261,34.2457573250508,1.82115130623848,0.925755139386219,855.597659786016
"M0009","P05",360,"Torno","A",5.43267065730236,"Preventivo","Preventiva",0.510771340541067,38.2643580806168,2.76763232936894,0.93544823402219,748.844385758328
"M0013","P05",360,"Prensa","C",5.36867946769195,"Preventivo","Preventiva",0.801562930828639,40.8462260669751,3.00765444067313,3.03575178957642,1047.3024956668
"M0013","P05",540,"Prensa","C",5.36867946769195,"Preventivo","Preventiva",0.92503906271095,43.4616339232314,3.46834397983712,4.22179413489773,1294.75924835574
"M0017","P04",360,"Fresadora","B",7.87048859354509,"Preventivo","Preventiva",0.826922904428469,41.1860957615841,1.28318477463356,1.10161614631619,933.45098980456
"M0018","P12",180,"Torno","A",5.26338776603968,"Preventivo","Preventiva",0.926507706326727,41.4181532621254,2.46068954202785,1.22356757644268,1002.28953064653
"M0018","P12",720,"Torno","A",5.26338776603968,"Preventivo","Preventiva",0.926122927872151,40.7741108292674,5.08070016442338,2.12679787090548,870.279318747799
"M0021","P10",180,"Fresadora","A",9.05944094017905,"Preventivo","Preventiva",0.573805782115724,39.2757717792954,1.12338506314523,0.740780331492753,412.2475431161
"M0021","P10",360,"Fresadora","A",9.05944094017905,"Preventivo","Preventiva",0.59780192144715,37.1164315420218,1.15558974605229,1.05177896555004,540.424902923428
"M0022","P12",180,"Fresadora","B",7.61938706937498,"Preventivo","Preventiva",0.406801048965845,27.44125751076,1.0577331506869,0.342908218534155,452.080606822395
"M0022","P12",360,"Fresadora","B",7.61938706937498,"Preventivo","Preventiva",0.397950817364377,34.3162063797608,1.38071920760583,0.752824015552213,730.477524090332
"M0022","P12",720,"Fresadora","B",7.61938706937498,"Preventivo","Preventiva",0.462516815426701,32.7703867105177,1.41263382053768,0.643811606797275,248.963425807673
"M0025","P07",180,"Prensa","C",2.1482844922742,"Preventivo","Preventiva",0.910019845173927,34.6096644848725,1.06833602274992,1.2860321421642,660.10968690033
"M0025","P07",360,"Prensa","C",2.1482844922742,"Preventivo","Preventiva",0.850391670897079,35.6845176366374,0.827962433004692,1.49316282859388,622.739449308368
"M0027","P03",360,"Fresadora","B",8.66749851043722,"Preventivo","Preventiva",0.554239696555006,42.1030583706399,1.0428247774411,0.803448096204578,427.493695505427
"M0027","P03",540,"Fresadora","B",8.66749851043722,"Preventivo","Preventiva",0.613648508519074,38.4221069955797,1.11732589380884,0.882322043596418,465.647168414941
"M0029","P07",180,"Fresadora","A",3.63342820332728,"Preventivo","Preventiva",0.934954918133278,39.0634091950408,1.84519443983823,2.15358504362378,206.75691696859
"M0029","P07",540,"Fresadora","A",3.63342820332728,"Preventivo","Preventiva",0.844550823366518,37.4769836447874,1.57289174079942,2.21963339287071,1212.57963480822
"M0033","P02",180,"Torno","B",2.44936765977783,"Preventivo","Preventiva",0.626857704952689,37.713738426614,1.1105259783016,1.63330633828643,459.794675605996
"M0033","P02",360,"Torno","B",2.44936765977783,"Preventivo","Preventiva",0.464044721725439,37.7735896770556,1.23630530295645,1.53852498583351,130.800407597203
