"id_planta","zona","calidad_mantenimiento","temperatura_ambiental_media"
"P01","Centro",0.683622897300344,26.3351261517245
"P02","Sur",0.680793683287145,24.8122605016047
"P03","Norte",0.551092236535844,28.6008062041153
"P04","Centro",0.594337764396895,25.0305266334832
"P05","Centro",0.552982935374633,25.442939000243
"P06","Sur",0.557821620353168,20.7852752823996
"P07","Sur",0.833908884598662,18.5199357364143
"P08","Centro",0.720227099612121,21.1520278706454
"P09","Sur",0.715842653675653,24.3674263191194
"P10","Sur",0.787786282105075,22.5469421923111
"P11","Norte",0.733413789787234,22.2265532333203
"P12","Norte",0.774328743039631,22.967778865116
