"id_poliza","k","t_k","coste_k","anio"
1,1,0.7654,1334.03,1
3,1,0.9761,2672.88,1
3,2,1.1273,4432.44,2
3,3,2.0749,296.31,3
3,4,2.9666,1350.54,3
6,1,0.1117,3584.94,1
7,1,0.6566,1548.18,1
7,2,2.4129,2150.01,3
7,3,3.5454,369.98,4
11,1,1.7955,2831.58,2
12,1,2.0936,3988.89,3
16,1,3.4838,1410.14,4
21,1,4.0505,2201.29,5
22,1,0.2254,651.37,1
22,2,2.8084,2017.88,3
23,1,1.2724,2382.96,2
28,1,0.9234,2168.42,1
28,2,1.958,3153.7,2
28,3,2.8205,2864.59,3
28,4,3.7637,2646.47,4
28,5,4.8945,1776.42,5
28,6,5.699,5601.84,6
36,1,0.814,4534.16,1
40,1,1.6806,2082.53,2
49,1,0.2223,1091.92,1
49,2,1.7333,773.25,2
49,3,2.0148,869.36,3
49,4,2.9126,2620.22,3
49,5,4.0174,2264.05,5
50,1,0.8796,987.79,1
51,1,2.668,1929.65,3
68,1,4.0642,2151.8,5
70,1,0.1598,1967.31,1
73,1,4.0515,3791.16,5
75,1,3.518,2521.36,4
75,2,6.8452,4764.94,7
76,1,1.0578,1441.74,2
81,1,2.5311,1898.42,3
81,2,3.1144,1086.93,4
81,3,5.4102,501.53,6
86,1,2.7072,1755.33,3
86,2,3.2619,1754.87,4
89,1,1.9178,3559.26,2
92,1,2.7206,593.23,3
93,1,1.0381,1475.76,2
95,1,0.6186,3497.92,1
95,2,3.2065,1298.97,4
95,3,3.6873,393.7,4
105,1,1.4805,2175.65,2
106,1,6.43,6996.06,7
114,1,1.127,1340.26,2
114,2,1.4018,1212.69,2
114,3,3.3482,675.85,4
114,4,4.7733,989,5
114,5,5.9492,584.31,6
116,1,6.9748,5164.09,7
116,2,8.0719,6033.86,9
118,1,1.8776,1636.71,2
119,1,0.1351,355.38,1
119,2,1.3449,1027.8,2
124,1,1.1222,3492.85,2
127,1,1.4502,1479.24,2
127,2,3.3439,2736.67,4
131,1,2.1689,1113.34,3
132,1,4.4857,577.34,5
133,1,2.0187,411.19,3
138,1,2.7447,1515.26,3
139,1,1.8503,6546.63,2
139,2,2.1996,2942.61,3
139,3,6.5925,1236.29,7
140,1,6.7695,184.01,7
145,1,4.5279,3250.19,5
145,2,7.2242,989.11,8
146,1,1.4924,558.05,2
149,1,0.4991,4216.65,1
