"id_poliza","k","t_k","coste_k","anio"
2,1,0.3496,3974.73,1
2,2,0.42,740.58,1
2,3,4.0338,757.04,5
10,1,4.6969,2948.68,5
10,2,5.8533,4341.06,6
10,3,6.1251,1226.77,7
10,4,7.8732,3873.26,8
12,1,7.8494,3633.29,8
18,1,3.3351,3192.81,4
24,1,0.4806,5911.95,1
26,1,0.0899,3202.21,1
29,1,3.3567,608.22,4
29,2,4.372,4338.21,5
29,3,5.5967,2073.8,6
30,1,1.2316,3967.56,2
30,2,2.3896,3992.82,3
31,1,1.8348,1786.56,2
33,1,0.8307,251.33,1
38,1,5.6032,4642.85,6
39,1,0.149,5041.57,1
40,1,4.7018,3052.22,5
42,1,1.5104,4232.72,2
43,1,1.4923,2081,2
48,1,1.0469,701.68,2
54,1,0.8876,1247.4,1
57,1,2.9369,2162.47,3
57,2,7.8652,3245.12,8
58,1,6.1779,1039.97,7
59,1,3.7453,1060.72,4
62,1,0.1647,2597.74,1
66,1,5.7031,441.06,6
67,1,1.922,951.02,2
69,1,4.5986,1586.28,5
70,1,3.3348,2930.83,4
70,2,3.7542,4716.34,4
71,1,0.2757,1855.14,1
72,1,2.6135,2495.56,3
72,2,5.0432,2577.72,6
72,3,6.8835,1488.11,7
74,1,4.337,1839.9,5
76,1,2.3458,3102.53,3
76,2,3.063,761.76,4
82,1,4.6634,1179.55,5
82,2,5.162,2354.52,6
84,1,0.4099,7613.58,1
84,2,0.4533,10892.49,1
84,3,1.3141,2775.48,2
86,1,1.4568,2036.34,2
89,1,2.5115,1996.89,3
92,1,3.2819,5720.24,4
96,1,0.2855,5211.59,1
99,1,5.5966,1271.48,6
101,1,3.4589,1757.82,4
102,1,3.108,1143.65,4
103,1,1.4338,1205.77,2
103,2,1.859,1300.35,2
103,3,1.8917,949.38,2
104,1,0.0602,2524.58,1
104,2,1.5883,7319.12,2
105,1,7.8309,2966.39,8
107,1,3.8232,5447.44,4
108,1,0.9029,3006.82,1
111,1,0.614,3868.28,1
111,2,2.0289,6651.87,3
111,3,2.2231,6838.37,3
111,4,2.4843,4685.68,3
111,5,3.7176,5102.87,4
113,1,4.8408,1140.01,5
115,1,0.4221,861.1,1
118,1,5.3312,10412.92,6
119,1,6.1888,193.73,7
120,1,1.272,1137.23,2
121,1,2.6151,2373.81,3
121,2,2.8696,3390.19,3
121,3,2.9497,1243.74,3
121,4,5.4036,5993.65,6
121,5,5.5129,1937.66,6
121,6,5.6484,3237.2,6
121,7,6.4236,3914.58,7
121,8,7.1032,1265.06,8
123,1,3.0969,1054.74,4
123,2,3.8303,2962.55,4
123,3,6.1766,1712.11,7
127,1,2.0398,3278.59,3
127,2,4.2281,4013.71,5
128,1,1.8772,1071.75,2
130,1,0.5277,7058.79,1
133,1,9.301,782.1,10
139,1,0.8648,3879.44,1
140,1,6.3507,4615.44,7
140,2,7.6837,2627.25,8
140,3,8.0626,2225.11,9
140,4,8.88,594.11,9
140,5,9.1446,1614.08,10
141,1,1.6247,743.52,2
142,1,2.0302,4180.77,3
142,2,6.6996,3250.22,7
144,1,3.5084,188.38,4
148,1,1.3995,1465.15,2
148,2,2.0992,1322.18,3
148,3,4.1127,1023.99,5
148,4,4.2735,744.73,5
149,1,7.1447,1086.02,8
150,1,2.65,1986.63,3
153,1,1.0977,6465.61,2
155,1,3.0616,1866.71,4
156,1,0.0462,1530.37,1
158,1,1.8614,4162.18,2
158,2,4.5243,1554.29,5
160,1,0.5552,4475.71,1
162,1,5.622,1184.7,6
162,2,5.6247,2650.8,6
164,1,0.3991,2506.66,1
164,2,3.7794,455.55,4
166,1,1.3252,1638.82,2
166,2,1.8496,1900.66,2
166,3,4.0136,1955.5,5
166,4,4.1168,348.74,5
166,5,4.4879,562.22,5
166,6,5.5209,2245.5,6
166,7,6.7528,948.78,7
166,8,7.4492,461.91,8
173,1,2.6913,1803.83,3
173,2,2.8943,498.93,3
174,1,2.4914,3288.12,3
180,1,0.7415,2404.72,1
180,2,3.2637,705.4,4
185,1,3.8585,2667.44,4
185,2,5.1594,2355.24,6
191,1,1.6243,931.23,2
197,1,0.481,1686.05,1
197,2,1.0195,1118.01,2
212,1,1.6367,5834.14,2
213,1,6.5177,4329.92,7
215,1,6.1532,3394.49,7
219,1,0.9731,3550.38,1
223,1,2.0614,772.99,3
226,1,1.8607,1011.36,2
230,1,2.5363,904.02,3
237,1,3.5542,893.15,4
237,2,3.9328,3523.08,4
237,3,4.1017,5805.28,5
237,4,4.1509,10679.9,5
237,5,4.8083,1815.17,5
237,6,5.3169,2615.85,6
237,7,6.0986,2863.47,7
237,8,6.1808,2021.81,7
237,9,6.2726,3127.94,7
237,10,8.0251,594.78,9
237,11,8.0814,3150.93,9
239,1,2.8729,1816.63,3
241,1,1.9065,1057.69,2
242,1,6.1981,339.13,7
242,2,6.2817,283.83,7
247,1,1.0491,1202.55,2
251,1,2.5293,2885.48,3
251,2,4.9758,334.32,5
255,1,0.7906,1077.17,1
260,1,2.2029,3188.67,3
264,1,0.1618,3808.68,1
265,1,0.84,1177.3,1
265,2,1.8971,1380.4,2
269,1,1.3688,470.42,2
269,2,5.2817,1556.04,6
270,1,1.844,2190.82,2
270,2,2.0846,1380.62,3
272,1,0.7119,242.67,1
272,2,2.776,823.66,3
272,3,3.5392,1062.36,4
272,4,6.4261,343.66,7
272,5,7.3588,450.52,8
272,6,7.4294,1018.44,8
274,1,1.6645,3726.88,2
276,1,1.6301,338.7,2
277,1,5.6841,4462.26,6
277,2,6.1683,2315.58,7
277,3,6.6974,4516.45,7
278,1,1.7363,1922.54,2
279,1,4.374,3911.19,5
280,1,2.3966,3094.91,3
288,1,4.2769,2725.4,5
290,1,7.1374,8498.07,8
295,1,0.8369,1104.51,1
303,1,2.5167,4365.06,3
303,2,4.2226,2642.52,5
304,1,0.9509,2318.8,1
306,1,0.1864,8715.64,1
306,2,1.3175,1796.4,2
310,1,3.1575,1973.96,4
315,1,4.2895,7173.16,5
317,1,3.7508,5217.1,4
317,2,5.3882,8718.67,6
319,1,2.6598,1423.48,3
319,2,4.9664,5703.03,5
319,3,7.2559,1121.2,8
319,4,9.4261,2822.74,10
320,1,2.1386,2615.88,3
321,1,1.6953,2211.48,2
321,2,2.2986,471.72,3
321,3,5.0332,984.45,6
322,1,0.1083,1135.29,1
326,1,2.7941,4531.7,3
326,2,2.958,4635.28,3
327,1,2.2864,803.64,3
327,2,4.0563,2541.67,5
327,3,5.9288,3044.76,6
327,4,6.9689,1886.89,7
331,1,4.7463,814.59,5
336,1,0.8799,1796.38,1
336,2,5.1771,974.86,6
338,1,1.3934,1953.34,2
338,2,1.9201,1603.11,2
339,1,5.814,2664.97,6
340,1,1.6468,13923.92,2
342,1,5.4302,2901.44,6
342,2,5.776,598.81,6
345,1,6.6528,1868.23,7
345,2,9.027,615.32,10
346,1,4.2468,2626.63,5
346,2,4.5403,1113.07,5
359,1,1.892,1805.97,2
360,1,1.2968,1673.33,2
360,2,3.5138,2914.58,4
360,3,4.3983,1513.66,5
365,1,3.1942,2337.79,4
368,1,1.707,2628.9,2
368,2,1.9782,6797.2,2
