"id_poliza","k","t_k","coste_k","anio"
6,1,1.9589,1855.74,2
6,2,4.2,2975.13,5
6,3,5.623,4347.13,6
6,4,7.0079,1750.96,8
9,1,4.6827,607.96,5
10,1,0.7435,4390.25,1
12,1,3.8025,3819.08,4
14,1,7.4349,2768.82,8
16,1,1.1174,448.39,2
29,1,2.9268,3376.2,3
29,2,3.1943,10183.03,4
32,1,2.178,1293.12,3
32,2,6.7729,357.78,7
32,3,8.6658,1912.82,9
33,1,4.2314,1430.74,5
35,1,2.9803,1411.24,3
36,1,0.9396,599.29,1
40,1,7.4529,2521.45,8
40,2,8.3989,2405.69,9
45,1,1.0256,2660.05,2
45,2,1.2486,1531.68,2
46,1,0.7407,1105.91,1
50,1,0.6446,4196.93,1
51,1,7.0889,5562.4,8
52,1,5.8308,2605.65,6
53,1,5.7269,2339.72,6
53,2,6.0848,933.58,7
53,3,7.6558,2512.65,8
54,1,1.5483,4504.69,2
59,1,2.6303,1478.05,3
61,1,2.6175,1698.93,3
62,1,2.6133,132.34,3
66,1,1.7641,3467.4,2
66,2,3.0476,1719.75,4
66,3,3.6664,1639.8,4
67,1,2.698,1862.43,3
71,1,1.5915,2742.48,2
73,1,1.9404,783.12,2
73,2,2.3728,3793.16,3
73,3,3.068,4728.78,4
73,4,5.0856,3294.13,6
76,1,0.9209,3143.51,1
81,1,2.5904,1705.57,3
81,2,4.3602,427.09,5
84,1,2.0277,1023.94,3
85,1,0.3536,1027.97,1
85,2,0.9457,1614.12,1
88,1,0.1514,2851.72,1
93,1,0.9454,1666.48,1
94,1,1.0445,842.7,2
96,1,1.6649,6839.81,2
101,1,3.449,1100.82,4
101,2,4.4094,1327.41,5
105,1,3.5938,865.91,4
109,1,1.7024,1517.45,2
112,1,0.6766,2529.45,1
124,1,3.3995,4694.39,4
131,1,0.3896,973.46,1
131,2,0.923,858.95,1
131,3,2.6399,3179.38,3
131,4,6.1695,644.53,7
132,1,0.5441,1417.82,1
132,2,0.6824,2592.09,1
132,3,3.0567,2814.43,4
133,1,0.2592,2911.33,1
133,2,3.5629,3161.47,4
133,3,5.7702,3882.99,6
133,4,5.9955,1148.67,6
134,1,4.029,5237.49,5
134,2,4.8373,700.18,5
136,1,3.572,1160.61,4
144,1,1.7168,1245.59,2
144,2,4.9797,1385.91,5
145,1,1.1679,3898.59,2
146,1,5.2,310.65,6
150,1,0.6736,2354.16,1
150,2,0.7731,73.31,1
152,1,2.25,1160.55,3
152,2,6.0543,2651.83,7
154,1,0.3348,3154.74,1
154,2,0.3403,731.45,1
154,3,3.8471,4988.81,4
154,4,6.8081,1233.24,7
154,5,7.6694,3227.97,8
159,1,2.6899,1534.02,3
163,1,1.2674,1509.64,2
166,1,1.198,5746.4,2
166,2,3.537,4551.19,4
178,1,5.8052,1026.13,6
181,1,2.3014,1094.74,3
181,2,2.4495,3333.01,3
184,1,2.1249,341.84,3
185,1,3.1137,2686.84,4
189,1,4.2367,1828.92,5
190,1,3.0145,2458.32,4
191,1,1.7934,3652,2
199,1,0.696,623.23,1
202,1,0.655,1572.88,1
213,1,4.3487,2227.27,5
214,1,1.4286,2198.22,2
217,1,0.2268,2715.95,1
217,2,2.7115,2479.51,3
220,1,2.3031,1735.16,3
222,1,0.9372,753.47,1
222,2,1.2268,3002.11,2
222,3,3.2941,5161.29,4
222,4,3.5236,10771.5,4
222,5,4.1026,2293.67,5
222,6,4.413,1686.92,5
224,1,2.3036,243.08,3
226,1,4.824,5498.68,5
228,1,4.7603,989.73,5
228,2,5.582,58.7,6
228,3,7.1651,542.88,8
229,1,3.8724,1282.65,4
232,1,5.4302,3210.72,6
234,1,0.443,167.34,1
234,2,1.3297,3502.13,2
234,3,7.0098,5212.56,8
235,1,2.6049,736.4,3
237,1,2.7231,2525.66,3
239,1,2.1112,2898.73,3
239,2,2.2722,7102.79,3
239,3,3.0908,939.9,4
239,4,3.3024,1502.44,4
239,5,4.363,5309.67,5
239,6,4.4761,2195.39,5
239,7,6.5148,960.6,7
239,8,6.6106,4375.99,7
239,9,7.1734,2054,8
239,10,7.5335,9907.09,8
239,11,8.5599,2904.74,9
239,12,9.4807,881.91,10
245,1,4.1265,1097.95,5
246,1,3.0811,266.88,4
250,1,3.5157,2064.13,4
250,2,3.5697,818.54,4
253,1,0.4509,2562.53,1
254,1,0.5458,2941.96,1
254,2,7.5053,1194.02,8
255,1,0.8635,2172.89,1
256,1,1.5241,645.15,2
260,1,2.1377,3436.5,3
264,1,3.0559,1416.85,4
266,1,0.6463,418.34,1
267,1,0.5493,1455.45,1
271,1,2.4817,2195.15,3
272,1,5.3898,2174.22,6
272,2,7.1847,5641.16,8
277,1,0.736,361.74,1
280,1,2.2349,3253.85,3
283,1,3.5974,1514.74,4
285,1,0.7434,1600.47,1
290,1,1.0502,967.52,2
292,1,0.6263,1973.02,1
292,2,1.0592,1273.01,2
292,3,3.5533,1417.9,4
295,1,3.2009,1506.22,4
297,1,0.4347,421.67,1
299,1,0.7354,3073.49,1
299,2,4.0424,3408.45,5
299,3,5.6769,4583.94,6
300,1,0.3094,721.74,1
300,2,1.3135,5355.15,2
300,3,2.1253,1283.98,3
300,4,3.1909,3973.53,4
300,5,3.3442,3006.43,4
303,1,3.9025,545.96,4
303,2,4.0584,3000.43,5
303,3,4.8373,5300.82,5
305,1,3.3482,2058.84,4
306,1,1.1492,2117.84,2
310,1,3.1625,264.19,4
312,1,1.0825,539.36,2
313,1,2.8756,1342.69,3
313,2,2.9124,3842.79,3
313,3,6.9149,877.33,7
316,1,1.3873,2328.34,2
320,1,0.6862,1079.33,1
324,1,2.3895,4664.01,3
327,1,0.069,4261.79,1
328,1,5.5043,602.53,6
330,1,3.9815,2048.52,4
335,1,0.3691,2196.8,1
335,2,3.3483,2004.74,4
337,1,6.6361,3332.52,7
337,2,6.8045,10797.02,7
337,3,8.5935,2096.67,9
340,1,0.3265,645.36,1
340,2,1.5933,797.99,2
340,3,2.022,3303.57,3
340,4,4.9945,3290.7,5
343,1,1.5161,1516.26,2
343,2,6.9755,2835.3,7
343,3,8.5193,1477.78,9
344,1,3.511,9416.69,4
344,2,3.8661,148.59,4
344,3,6.5541,3426.98,7
353,1,2.699,1653.04,3
357,1,2.4481,1315.17,3
358,1,2.3601,4038.59,3
360,1,1.5259,4508.28,2
362,1,2.9237,3516.34,3
362,2,3.0057,2570.73,4
362,3,3.2027,1353.47,4
362,4,3.4836,1627.46,4
363,1,0.915,6876.87,1
365,1,0.7208,1134.91,1
365,2,3.0721,1041.97,4
369,1,1.9886,2847.65,2
372,1,5.7639,5197.93,6
373,1,0.2125,441.58,1
373,2,2.2861,2066.32,3
373,3,2.453,3530.88,3
374,1,1.239,269.4,2
375,1,0.7548,1475.68,1
383,1,2.7174,4080.65,3
384,1,2.8943,2284.64,3
384,2,4.0611,493.19,5
388,1,2.0733,7766.89,3
388,2,2.7444,661.07,3
389,1,3.7464,2603.47,4
389,2,5.5942,1223.08,6
390,1,1.4332,526.14,2
397,1,1.3356,849.46,2
397,2,2.7922,417.85,3
397,3,2.898,1944.17,3
398,1,2.9818,5661.75,3
398,2,3.6473,1088.84,4
399,1,1.9905,3507.66,2
401,1,6.9933,6554.39,7
403,1,0.1805,1489.1,1
403,2,2.1735,1639.95,3
407,1,5.8726,577.22,6
421,1,3.4136,1570.43,4
424,1,1.0306,749.68,2
427,1,0.2331,4085.21,1
429,1,2.7389,655.99,3
431,1,1.6409,1662.34,2
431,2,2.953,1035.37,3
431,3,6.5751,1999.16,7
432,1,4.3221,452.32,5
436,1,4.5834,3051.45,5
436,2,5.5511,1906,6
438,1,2.253,2955.02,3
441,1,4.7986,2388.37,5
446,1,0.8437,3989.06,1
449,1,2.0043,1175.85,3
455,1,0.6829,4771.56,1
455,2,1.7951,694.93,2
455,3,2.0903,7441.82,3
459,1,6.8531,1646.6,7
461,1,3.4803,2730.6,4
461,2,4.6321,2013.63,5
468,1,1.7059,5228.57,2
468,2,5.7757,1479.67,6
468,3,6.2518,778.94,7
468,4,6.5412,239.96,7
468,5,7.1609,567.03,8
474,1,3.9884,195.14,4
476,1,1.6692,306.08,2
478,1,8.2628,2491.32,9
482,1,2.0624,2135.84,3
485,1,1.2931,545.11,2
487,1,0.7701,996.62,1
490,1,4.4574,1091.67,5
491,1,4.2077,3188,5
493,1,4.0644,781.3,5
499,1,4.489,2409.95,5
501,1,2.3912,334.79,3
511,1,1.6991,1117.59,2
514,1,4.8309,3118.34,5
515,1,3.3402,225.12,4
518,1,0.7204,1579.69,1
523,1,1.2111,1126.91,2
524,1,0.2985,2097.43,1
524,2,4.4689,1436.41,5
524,3,5.1692,1511.17,6
526,1,4.8528,769.91,5
527,1,1.6852,1582.79,2
527,2,2.7215,1414.34,3
529,1,2.9238,3226.3,3
532,1,5.4877,1453.91,6
533,1,0.8766,2502.78,1
533,2,1.8645,2205.46,2
533,3,3.7451,5478.36,4
533,4,3.8771,1132.43,4
535,1,0.109,916.09,1
537,1,1.0487,750.21,2
547,1,0.2213,4796.07,1
547,2,2.2731,1996.5,3
547,3,3.2687,4416.23,4
547,4,4.8071,1942.63,5
547,5,5.0891,1693.09,6
556,1,6.9413,4844.22,7
564,1,2.6963,1181.74,3
564,2,3.4703,3081.3,4
564,3,3.7752,942.73,4
564,4,4.0469,6660.44,5
564,5,4.3947,1730.41,5
564,6,4.4327,1321.91,5
564,7,4.7731,588.97,5
564,8,6.0273,1128.55,7
568,1,5.0448,694.12,6
569,1,3.3034,1499.99,4
572,1,0.4273,1198.95,1
572,2,2.4347,2644.06,3
576,1,0.2091,4237.42,1
577,1,1.8598,2123.38,2
578,1,2.4734,1424.94,3
584,1,0.85,691.84,1
589,1,1.0985,5349.69,2
600,1,3.3211,508.33,4
600,2,3.6725,7328.63,4
600,3,7.5573,1896.9,8
601,1,1.7955,1237.61,2
601,2,2.4425,1101.39,3
601,3,2.9928,1909.41,3
606,1,2.1312,2849.89,3
606,2,2.5853,4694.71,3
608,1,1.1945,538.96,2
608,2,3.5716,1941.98,4
