id_maquina,id_planta,tipo,fabricante,antiguedad_anios,capacidad_kw,plan_mantenimiento,carga_media,zona,calidad_mantenimiento,temperatura_ambiental_media,tiempo,fallo,n_intervalos_observados
M0001,P12,Prensa,C,5.202988276279934,79.46578789382855,Preventivo,0.577122779927667,Norte,0.7256822092033763,18.05302548860507,386.0642356194676,1,13
M0002,P07,Prensa,C,3.6762763066202924,111.58145136333903,Correctivo,0.7211622356049505,Centro,0.6303256713678888,17.019784434442585,594.5825162300195,1,20
M0003,P01,Fresadora,B,5.083074133764403,92.82231265156142,Preventivo,0.35531957069178943,Centro,0.5916641178967565,20.75990227476123,720,0,24
M0004,P02,Fresadora,C,8.198833195198594,61.56254229798304,Correctivo,0.7572312398611886,Sur,0.6112808956532385,23.775750060961073,129.56460674476958,1,5
M0005,P06,Prensa,B,6.876888436743804,101.82642171911053,Correctivo,0.7001001827910395,Sur,0.5599365188521057,27.3467055328597,221.9324105352887,1,8
M0006,P02,Torno,B,3.5367039514837195,81.83783394748576,Correctivo,0.4625174093112093,Sur,0.6112808956532385,23.775750060961073,628.0324199864955,1,21
M0007,P02,Fresadora,A,14.716830779227914,74.86727958779538,Preventivo,0.7151226424622048,Sur,0.6112808956532385,23.775750060961073,36.70434456214889,1,2
M0008,P09,Fresadora,B,7.394858071363304,81.16522723386831,Correctivo,0.6256113306445381,Centro,0.6631797739082478,23.196749361855407,106.2618337795465,1,4
M0009,P02,Prensa,A,14.703478684920903,109.26145704020674,Preventivo,0.6453768065717596,Sur,0.6112808956532385,23.775750060961073,41.38763689281862,1,2
M0010,P08,Torno,A,6.836351968540154,89.87975658718202,Preventivo,0.6662378870430141,Centro,0.5300840248883054,26.13774261615842,6.375155534355858,1,1
M0011,P06,Torno,A,6.562099675073943,87.00387743839163,Correctivo,0.9541754697372276,Sur,0.5599365188521057,27.3467055328597,7.1150745942938025,1,1
M0012,P12,Prensa,A,10.424826081220223,46.62968416620642,Correctivo,0.7927866716629103,Norte,0.7256822092033763,18.05302548860507,43.04025570950613,1,2
M0013,P10,Prensa,C,3.7538516059392717,79.13068761128646,Correctivo,0.697138622748113,Sur,0.8007702861329701,23.83049166876269,217.29672631620846,1,8
M0014,P06,Fresadora,C,5.17710394462889,53.62689210914213,Preventivo,0.3810545931638091,Sur,0.5599365188521057,27.3467055328597,246.01829673910368,1,9
M0015,P05,Prensa,C,6.0921858836514415,111.59435872479466,Preventivo,0.8861164350644164,Centro,0.5534500108826634,29.812299145379253,125.00123238457115,1,5
M0016,P08,Torno,A,5.821312836203055,100.40314840656967,Correctivo,0.5680940621100412,Centro,0.5300840248883054,26.13774261615842,501.58898773024436,1,17
M0017,P11,Torno,C,5.304020849341996,97.93705219612308,Preventivo,0.7954330601779215,Norte,0.6948780745805822,25.411629283364377,344.74361212649035,1,12
M0018,P12,Torno,B,2.781084546250715,112.13619696658384,Correctivo,0.9625640030744762,Norte,0.7256822092033763,18.05302548860507,24.0765879339749,1,1
M0019,P09,Fresadora,A,3.372700172238717,93.50592562633102,Correctivo,0.7776174554859763,Centro,0.6631797739082478,23.196749361855407,75.67685047462504,1,3
M0020,P07,Fresadora,C,8.649062527785988,71.58350013352116,Correctivo,0.7068930764860326,Centro,0.6303256713678888,17.019784434442585,304.7331421935399,1,11
M0021,P05,Prensa,B,3.0406027414430703,94.4344418837279,Correctivo,0.7918370381427375,Centro,0.5534500108826634,29.812299145379253,274.8668761837161,1,10
