id_maquina,id_planta,tipo,fabricante,antiguedad_anios,capacidad_kw,carga_media,plan_mantenimiento,calidad_mantenimiento,tiempo,fallo
M0001,P12,Prensa,C,5.202988276279934,79.46578789382855,0.577122779927667,Preventivo,0.7256822092033763,386.0642356194676,1
M0002,P07,Prensa,C,3.6762763066202924,111.58145136333903,0.7211622356049505,Correctivo,0.6303256713678888,594.5825162300195,1
M0003,P01,Fresadora,B,5.083074133764403,92.82231265156142,0.35531957069178943,Preventivo,0.5916641178967565,720,0
M0004,P02,Fresadora,C,8.198833195198594,61.56254229798304,0.7572312398611886,Correctivo,0.6112808956532385,129.56460674476958,1
M0005,P06,Prensa,B,6.876888436743804,101.82642171911053,0.7001001827910395,Correctivo,0.5599365188521057,221.9324105352887,1
M0006,P02,Torno,B,3.5367039514837195,81.83783394748576,0.4625174093112093,Correctivo,0.6112808956532385,628.0324199864955,1
M0007,P02,Fresadora,A,14.716830779227914,74.86727958779538,0.7151226424622048,Preventivo,0.6112808956532385,36.70434456214889,1
M0008,P09,Fresadora,B,7.394858071363304,81.16522723386831,0.6256113306445381,Correctivo,0.6631797739082478,106.2618337795465,1
M0009,P02,Prensa,A,14.703478684920903,109.26145704020674,0.6453768065717596,Preventivo,0.6112808956532385,41.38763689281862,1
M0010,P08,Torno,A,6.836351968540154,89.87975658718202,0.6662378870430141,Preventivo,0.5300840248883054,6.375155534355858,1
M0011,P06,Torno,A,6.562099675073943,87.00387743839163,0.9541754697372276,Correctivo,0.5599365188521057,7.1150745942938025,1
M0012,P12,Prensa,A,10.424826081220223,46.62968416620642,0.7927866716629103,Correctivo,0.7256822092033763,43.04025570950613,1
M0013,P10,Prensa,C,3.7538516059392717,79.13068761128646,0.697138622748113,Correctivo,0.8007702861329701,217.29672631620846,1
M0014,P06,Fresadora,C,5.17710394462889,53.62689210914213,0.3810545931638091,Preventivo,0.5599365188521057,246.01829673910368,1
M0015,P05,Prensa,C,6.0921858836514415,111.59435872479466,0.8861164350644164,Preventivo,0.5534500108826634,125.00123238457115,1
M0016,P08,Torno,A,5.821312836203055,100.40314840656967,0.5680940621100412,Correctivo,0.5300840248883054,501.58898773024436,1
M0017,P11,Torno,C,5.304020849341996,97.93705219612308,0.7954330601779215,Preventivo,0.6948780745805822,344.74361212649035,1
M0018,P12,Torno,B,2.781084546250715,112.13619696658384,0.9625640030744762,Correctivo,0.7256822092033763,24.0765879339749,1
M0019,P09,Fresadora,A,3.372700172238717,93.50592562633102,0.7776174554859763,Correctivo,0.6631797739082478,75.67685047462504,1
M0020,P07,Fresadora,C,8.649062527785988,71.58350013352116,0.7068930764860326,Correctivo,0.6303256713678888,304.7331421935399,1
M0021,P05,Prensa,B,3.0406027414430703,94.4344418837279,0.7918370381427375,Correctivo,0.5534500108826634,274.8668761837161,1
M0022,P06,Fresadora,A,2.028698153742428,95.80481506027849,0.78559338940650425,Correctivo,0.5599365188521057,430.9283748752235,1
M0023,P05,Fresadora,A,4.7892523159399465,46.14969971232556,0.8174875976621137,Correctivo,0.5534500108826634,198.71850091788409,1
M0024,P03,Prensa,A,2.698329876376948,66.0851347452486,0.87241037099083385,Preventivo,0.7363271954206225,395.1294319683787,1
M0025,P10,Torno,A,7.452364233803496,55.61465755548976,0.7065819082240646,Preventivo,0.8007702861329701,298.088015393213,1
M0026,P06,Torno,B,3.6163526486612394,90.31946261019826,0.6691914122679323,Correctivo,0.5599365188521057,450.8650269290923,1
M0027,P04,Fresadora,B,4.7553232892123525,45.31735448917165,0.5499209985251932,Correctivo,0.5948147700714784,578.4105529520812,1
M0028,P03,Prensa,C,7.367135546054475,94.36657950015443,0.7038897027368244,Correctivo,0.7363271954206225,397.4762246742603,1
M0029,P06,Torno,A,5.00336983701533,36.06102498919587,0.7245405199651307,Preventivo,0.5599365188521057,655.4658041902524,1
M0030,P04,Torno,A,8.11606428626274,53.94580480904083,0.38227684934417977,Correctivo,0.5948147700714784,520.0617523600044,1
M0031,P02,Prensa,A,4.74763175846508,62.32204516637731,0.4347590666658321,Preventivo,0.6112808956532385,94.07395170236849,1
M0032,P10,Torno,C,10.776875159801651,65.03830959436229,0.6045369938571962,Preventivo,0.8007702861329701,11.069157421550273,1
M0033,P11,Prensa,B,2.510787789879508,79.19275896195319,0.7145188476274241,Preventivo,0.6948780745805822,401.7477050218695,1
M0034,P04,Prensa,A,4.714917600992085,85.0501007583776,0.6174134537087806,Preventivo,0.5948147700714784,498.5649738344637,1
M0035,P04,Prensa,B,4.484773901258052,99.8885209922814,0.8060763803772064,Preventivo,0.5948147700714784,72.48269269608922,1
M0036,P01,Prensa,C,3.38967589516543,53.05593492364099,0.6945418411884736,Correctivo,0.5916641178967565,342.79949915595046,1
M0037,P02,Torno,C,2.5285561459695245,80.24335695049973,0.3528292560694825,Correctivo,0.6112808956532385,711.1861750084292,1
M0038,P04,Fresadora,A,4.900249738591778,121.97983914902602,0.6114843550238968,Correctivo,0.5948147700714784,105.56687191030213,1
M0039,P12,Fresadora,A,8.869407380168653,91.96350041770654,0.6432032663104489,Preventivo,0.7256822092033763,453.35447254327534,1
M0040,P08,Torno,A,2.5127015268672563,71.84799122653318,0.7585657654869284,Correctivo,0.5300840248883054,137.9378007457144,1
M0041,P05,Torno,B,3.1886881940448855,77.84220874533786,0.8795176318056086,Preventivo,0.5534500108826634,290.07041950758685,1
M0042,P08,Torno,A,5.9725294156775215,44.848681640645694,0.7208904342470607,Correctivo,0.5300840248883054,492.21612132495954,1
M0043,P08,Fresadora,A,7.491630056812635,71.81628464880305,0.5629483686938546,Correctivo,0.5300840248883054,625.8958274802457,1
M0044,P05,Prensa,B,5.35652695073942,80.46028112590731,0.6101748543705064,Preventivo,0.5534500108826634,551.7811000611024,1
M0045,P12,Fresadora,B,11.13454474857298,88.94410488699711,0.3737148254268975,Preventivo,0.7256822092033763,719.9883501461004,1
M0046,P09,Torno,A,11.768860369565733,55.65521732026384,0.5298176081366741,Preventivo,0.6631797739082478,260.1847342260438,1
M0047,P08,Fresadora,A,5.99299021868824,90.32983689587002,0.8284722826152601,Preventivo,0.5300840248883054,135.57886511798964,1
M0048,P03,Fresadora,B,7.145679655470651,106.21753476430554,0.6025040580023862,Preventivo,0.7363271954206225,471.87974392874133,1
M0049,P05,Torno,A,6.463881747589564,71.33145587247023,0.7290819050315027,Preventivo,0.5534500108826634,63.126702880436,1
M0050,P10,Torno,B,5.802749045046946,98.87417114273954,0.8000353705517002,Correctivo,0.8007702861329701,259.67547739616396,1
M0051,P11,Fresadora,B,2.996682794433264,75.79308312198538,0.7846001410610035,Correctivo,0.6948780745805822,55.20840829837027,1
M0052,P02,Prensa,A,3.8041683872144434,85.15061762858922,0.7847343813865119,Preventivo,0.6112808956532385,278.2566771415668,1
M0053,P09,Prensa,A,7.696859389260662,91.42897830344221,0.6016590319429586,Preventivo,0.6631797739082478,421.55446221855607,1
M0054,P10,Torno,B,4.927223786435483,78.58577667078782,0.6079179063211416,Correctivo,0.8007702861329701,172.93374949592672,1
M0055,P04,Torno,C,11.31518606273222,40.21713715998265,0.7764408007386324,Preventivo,0.5948147700714784,57.129413228597954,1
M0056,P07,Prensa,C,4.521456290007693,96.92957495149498,0.6920905490362376,Correctivo,0.6303256713678888,170.01424103571708,1
M0057,P03,Prensa,B,1.7459622884994719,74.01444473172329,0.8828957310182342,Preventivo,0.7363271954206225,720,0
M0058,P09,Torno,A,20,58.17773532695158,0.54640699220089906,Preventivo,0.6631797739082478,58.43982595720347,1
M0059,P04,Fresadora,A,1.4684570387153475,56.43118840320432,0.9529246591299765,Correctivo,0.5948147700714784,7.0702104319771895,1
M0060,P12,Prensa,A,3.5431386948621144,76.70343970144243,0.6401967961308275,Correctivo,0.7256822092033763,28.219735568453604,1
M0061,P04,Prensa,B,4.410234241187592,67.01407426628136,0.7724352216606857,Preventivo,0.5948147700714784,460.13615315992945,1
M0062,P06,Fresadora,C,3.9842148462687548,66.47968851224277,0.6435412582848871,Correctivo,0.5599365188521057,448.6857726459158,1
M0063,P11,Prensa,A,4.894606260551118,73.56476551174775,0.4133017072835463,Preventivo,0.6948780745805822,456.9826111492807,1
M0064,P02,Torno,A,4.603555587632476,56.17521928877833,0.5962386929660699,Preventivo,0.6112808956532385,74.08754248943038,1
M0065,P02,Torno,B,6.222976604894643,76.83459108911717,0.4038357880920634,Correctivo,0.6112808956532385,720,0
M0066,P08,Fresadora,B,7.848473540204706,91.44440304742469,0.5983646217329833,Correctivo,0.5300840248883054,323.9818545007769,1
M0067,P10,Fresadora,A,4.070648403622724,58.75693620564259,0.9071670876770438,Correctivo,0.8007702861329701,164.45000074701352,1
M0068,P12,Fresadora,B,19.351084912748888,77.14281625669547,0.8958425590125161,Correctivo,0.7256822092033763,348.71026096738655,1
M0069,P12,Fresadora,A,4.762536230945671,110.87339753851182,0.30662026913289625,Correctivo,0.7256822092033763,111.15968758158144,1
M0070,P11,Torno,C,5.927149571619462,76.7681257817998,0.5093597316497658,Preventivo,0.6948780745805822,403.6592923033564,1
M0071,P01,Torno,B,6.444019784627276,69.47479370105049,0.45788480019024574,Preventivo,0.5916641178967565,506.64443434362335,1
M0072,P11,Prensa,B,9.893172508224733,74.54247003911051,0.7929169118031293,Preventivo,0.6948780745805822,84.08168048858423,1
M0073,P03,Torno,A,4.027659847337624,76.69468347575413,0.7577868516051864,Correctivo,0.7363271954206225,445.8668859192626,1
M0074,P12,Fresadora,C,7.787889013114171,59.46360295699819,0.491246973545025,Preventivo,0.7256822092033763,168.38507725257588,1
M0075,P11,Fresadora,B,7.3931681761388015,95.88715891820218,0.8457909632739784,Preventivo,0.6948780745805822,606.4647751555174,1
M0076,P06,Fresadora,A,5.22514304660673,77.4080834537573,0.7717643810259971,Correctivo,0.5599365188521057,476.62568821572575,1
M0077,P02,Prensa,A,3.02043780870234,100.87341043026774,0.9493724387148509,Preventivo,0.6112808956532385,180.31685808377972,1
M0078,P09,Fresadora,B,8.192752817890492,98.35656386418647,0.7034476059766627,Preventivo,0.6631797739082478,554.4763516549866,1
