id_planta,zona,calidad_mantenimiento,temperatura_ambiental_media
P01,Centro,0.5916641178967565,20.75990227476123
P02,Sur,0.6112808956532385,23.775750060961073
P03,Centro,0.7363271954206225,21.46632597757719
P04,Sur,0.5948147700714784,26.266803606258584
P05,Centro,0.5534500108826634,29.812299145379253
P06,Sur,0.5599365188521057,27.3467055328597
P07,Centro,0.6303256713678888,17.019784434442585
P08,Centro,0.5300840248883054,26.13774261615842
P09,Centro,0.6631797739082478,23.196749361855407
P10,Sur,0.8007702861329701,23.83049166876269
P11,Norte,0.6948780745805822,25.411629283364377
P12,Norte,0.7256822092033763,18.05302548860507
