"id_poliza","k","t_k","coste_k","anio"
6,1,6.0552,2571.3,7
6,2,6.1806,76.68,7
10,1,2.9277,14045.55,3
10,2,7.5717,1102.09,8
11,1,1.1109,2248.48,2
15,1,6.024,4518.35,7
27,1,4.4783,974.79,5
33,1,3.7529,1902.02,4
39,1,2.1767,73.41,3
39,2,2.3852,1087.34,3
39,3,3.4139,3241.91,4
47,1,0.9758,1199.59,1
48,1,1.9805,2424.97,2
50,1,0.616,295.86,1
50,2,0.784,2182.34,1
50,3,1.6752,2767.15,2
52,1,6.0785,4413.35,7
57,1,0.4569,1122.82,1
57,2,0.9326,747.62,1
57,3,1.2976,409.33,2
57,4,1.3376,517.58,2
57,5,2.1373,7.01,3
57,6,2.8893,820.19,3
58,1,1.1378,667.32,2
59,1,2.1719,248.89,3
60,1,0.1071,3436.21,1
67,1,0.7433,2515.7,1
67,2,0.7494,1157.57,1
68,1,9.2457,2708.3,10
68,2,9.3896,534.99,10
70,1,0.0809,1374.48,1
70,2,1.9783,3035.69,2
71,1,0.9017,796.58,1
71,2,4.9225,647.74,5
74,1,0.4688,2757.34,1
77,1,1.5978,7259.96,2
77,2,3.2824,440.64,4
77,3,3.6547,742.29,4
79,1,1.8444,3199.4,2
80,1,3.2024,188,4
80,2,5.4303,1707.27,6
81,1,1.8413,378.46,2
82,1,1.3381,2515.29,2
91,1,1.5715,803.44,2
92,1,2.76,2965.83,3
92,2,3.5718,2000.32,4
96,1,0.7899,58.78,1
96,2,1.9504,3172.61,2
99,1,1.5035,364.83,2
100,1,3.9997,1217.05,4
102,1,0.972,1215.1,1
105,1,2.3023,97.03,3
105,2,3.3809,8075.56,4
106,1,3.4876,1872.65,4
106,2,4.2611,2953.41,5
106,3,5.995,3122.79,6
107,1,2.1466,2275.82,3
107,2,3.2629,4381.48,4
107,3,3.9127,1653.82,4
108,1,0.7096,4062.33,1
109,1,3.7873,1511.65,4
109,2,4.4737,4850.4,5
113,1,0.2571,2702.22,1
114,1,1.0431,2054.06,2
117,1,0.5858,4127.75,1
117,2,1.3062,492.79,2
117,3,2.8257,421.08,3
117,4,2.8311,891.76,3
123,1,0.7343,957.73,1
123,2,2.8845,996.69,3
125,1,8.3777,1381.52,9
138,1,2.3034,433.08,3
139,1,0.4282,1516.15,1
139,2,2.1365,911.89,3
139,3,3.4176,651.04,4
140,1,4.943,220.38,5
147,1,0.937,792.05,1
147,2,1.0851,3740.61,2
147,3,2.2211,866.88,3
154,1,1.3659,3112.52,2
154,2,1.9732,1217.1,2
154,3,2.3615,2490.8,3
154,4,2.7776,2188.45,3
154,5,3.272,1898.24,4
154,6,4.1239,950.01,5
154,7,4.6509,4238.5,5
155,1,1.7291,2729.34,2
156,1,3.1347,126.4,4
156,2,4.1057,627.46,5
157,1,3.2906,976.35,4
158,1,4.429,2776.66,5
160,1,1.6407,615.91,2
162,1,2.6797,3751.43,3
