"id_poliza","k","t_k","coste_k","anio"
1,1,4.3211,4491.86,5
1,2,6.3159,1264.06,7
1,3,8.5174,1969.6,9
2,1,1.921,498.13,2
4,1,2.891,504.08,3
5,1,5.6324,2667.16,6
6,1,1.118,968.85,2
8,1,1.0421,811.26,2
8,2,1.5341,1893.65,2
11,1,2.2807,1722.62,3
13,1,6.5189,4106.04,7
18,1,1.2088,8576.44,2
18,2,7.1286,875.34,8
22,1,1.5611,4239.07,2
23,1,0.641,6700.34,1
23,2,2.2998,3905.39,3
24,1,2.2555,1366.64,3
24,2,3.3548,376.51,4
25,1,1.8417,910.59,2
25,2,3.2994,3886.91,4
25,3,4.3418,12372.29,5
25,4,5.0792,836.33,6
25,5,6.1512,3232.12,7
25,6,7.2946,2388.31,8
25,7,8.2058,2059.16,9
25,8,8.2223,1712.2,9
25,9,8.2586,5845.63,9
27,1,1.1251,3609.6,2
27,2,1.9803,3650.24,2
30,1,5.8698,1502.07,6
31,1,1.7736,3888.24,2
31,2,3.251,2835.4,4
31,3,3.9338,9012.87,4
31,4,6.1988,2647.39,7
31,5,6.9762,363.93,7
31,6,7.5383,2085.24,8
31,7,8.2446,1313.72,9
31,8,8.3837,5690.57,9
31,9,8.6263,3926.6,9
34,1,2.9493,1674.31,3
34,2,4.7117,1905.71,5
39,1,2.42,5441.78,3
40,1,5.1017,6015.8,6
41,1,3.3322,979.77,4
43,1,3.3958,12407.89,4
43,2,4.5079,6635.94,5
43,3,6.5697,2835.04,7
43,4,8.076,4958.3,9
43,5,8.8026,9435.01,9
45,1,0.1324,5388.03,1
45,2,0.3459,1351.56,1
46,1,0.5361,1409.72,1
50,1,1.6308,1182.07,2
53,1,0.9451,1536.5,1
56,1,3.405,1290.24,4
56,2,3.6595,7546.89,4
57,1,0.5291,1268.78,1
58,1,1.5518,5655.31,2
58,2,2.445,5217.01,3
58,3,2.572,3871.45,3
58,4,2.6455,2708.91,3
58,5,3.5542,3562.3,4
58,6,3.8786,8396.53,4
58,7,4.3372,2471.54,5
58,8,4.4806,3772.64,5
58,9,5.0353,1835.19,6
59,1,4.6448,963.88,5
59,2,5.3119,4690.19,6
61,1,2.9946,2547.93,3
63,1,1.2077,693.2,2
63,2,5.7975,5174.12,6
69,1,0.6224,1652.47,1
70,1,2.305,1359.74,3
73,1,6.5229,1813.31,7
75,1,4.2916,2825.72,5
75,2,5.0588,1121.15,6
79,1,2.1017,271.34,3
79,2,4.9398,1307.82,5
80,1,2.9184,2284.77,3
80,2,7.8517,3740.01,8
82,1,8.4154,4090.63,9
