"id_poliza","id_agencia","id_region","antiguedad","exposicion","edad_conductor","edad_tramo","antiguedad_carnet","potencia_cv","cilindrada","antiguedad_vehiculo","valor_vehiculo","densidad","zona_circulacion","km_anuales","uso","tipo_vehiculo","combustible","sexo","color_vehiculo","estado_civil","forma_pago","financiado","n_conductores","nivel_estudios","medio_contacto","n_siniestros","n_asistencia","n_fraude","n_gestiones","t_primer_sin","evento","t_baja","baja","motivo_fin","coste_total","coste_medio","tuvo_siniestro","bonus_malus_prev","bonus_malus_act"
1,"1","1",4.851,0.4851,54,"35-65",35,122,1814,12,26520,489,"mixta",9225,"particular","furgoneta","diesel","H","otro","casado","anual",0,2,"superior","presencial",0,2,1,0,4.851,0,8.879,0,"fin_estudio",0,NA,0,"4","3"
2,"1","1",3.67,0.367,57,"35-65",15,67,908,10,28808,94,"rural",6443,"particular","turismo","gasolina","H","negro","soltero","anual",1,1,"superior","telefonico",1,2,2,1,0.766,1,10,0,"fin_estudio",859.41,859.41,1,"5","5"
3,"1","1",4.188,0.4188,50,"35-65",31,73,1121,0,39592,612,"mixta",16625,"particular","furgoneta","gasolina","M","negro","casado","mensual",0,1,"basico","telefonico",1,3,1,0,1.662,1,6.56,0,"fin_estudio",1154.61,1154.61,1,"2","1"
4,"1","1",5.798,0.5798,65,"35-65",21,149,2094,11,29567,1270,"urbana",6744,"particular","turismo","diesel","M","negro","casado","anual",1,2,"medio","telefonico",0,1,0,1,5.798,0,5.798,1,"baja",0,NA,0,"1","1"
5,"1","1",6.747,0.6747,46,"35-65",13,144,2454,9,24283,187,"mixta",13974,"particular","furgoneta","gasolina","H","rojo","casado","mensual",1,2,"basico","telefonico",0,1,1,1,6.747,0,10,0,"fin_estudio",0,NA,0,"1","1"
6,"1","1",7.189,0.7189,31,"25-35",9,150,2007,19,25536,85,"rural",17947,"particular","moto","gasolina","H","otro","soltero","mensual",1,1,"medio","presencial",0,2,0,3,7.189,0,7.189,1,"baja",0,NA,0,"1","1"
7,"1","1",2.189,0.2189,28,"25-35",8,124,1964,1,17394,73,"rural",7917,"particular","turismo","diesel","M","rojo","casado","anual",0,1,"basico","presencial",0,2,0,0,2.189,0,10,0,"fin_estudio",0,NA,0,"2","1"
8,"1","1",9.141,0.9141,72,"65+",51,83,1313,0,28186,64,"rural",11871,"comercial","turismo","gasolina","M","blanco","casado","mensual",0,1,"basico","presencial",0,8,3,3,9.141,0,10,0,"fin_estudio",0,NA,0,"1","1"
9,"1","1",5.073,0.5073,64,"35-65",20,55,935,3,4100,454,"mixta",6131,"particular","moto","gasolina","H","blanco","casado","mensual",1,1,"superior","telematico",1,1,0,2,0.522,1,10,0,"fin_estudio",5.75,5.75,1,"2","1"
10,"1","1",5.173,0.5173,70,"65+",41,98,1182,12,16725,80,"rural",7220,"particular","turismo","gasolina","H","blanco","soltero","anual",0,1,"medio","presencial",1,1,0,0,4.602,1,10,0,"fin_estudio",727.27,727.27,1,"2","2"
11,"1","1",0.834,0.0834,40,"35-65",17,76,1254,7,34457,215,"mixta",9329,"comercial","turismo","diesel","M","otro","soltero","mensual",1,3,"superior","telefonico",0,0,0,0,0.834,0,0.834,1,"baja",0,NA,0,"3","3"
12,"1","1",2.516,0.2516,78,"65+",29,129,2098,9,46801,98,"rural",14789,"particular","turismo","gasolina","M","otro","casado","mensual",0,1,"basico","presencial",0,0,0,1,2.516,0,2.516,1,"baja",0,NA,0,"2","1"
13,"1","1",7.009,0.7009,61,"35-65",37,187,2373,13,34485,471,"mixta",13997,"particular","turismo","diesel","H","gris","casado","mensual",0,2,"medio","presencial",3,2,0,2,1.44,1,10,0,"fin_estudio",5107.88,1702.63,1,"4","4"
14,"1","1",2.749,0.2749,30,"25-35",5,96,1463,10,25693,281,"mixta",10688,"particular","furgoneta","diesel","M","blanco","soltero","mensual",1,1,"superior","presencial",0,2,0,0,2.749,0,2.749,1,"baja",0,NA,0,"1","1"
15,"1","1",3.528,0.3528,59,"35-65",36,137,1670,0,18389,449,"mixta",10385,"particular","turismo","gasolina","H","rojo","soltero","anual",0,2,"medio","telematico",0,0,0,3,3.528,0,4.654,0,"fin_estudio",0,NA,0,"1","1"
16,"1","1",9.509,0.9509,33,"25-35",6,100,1781,14,8013,680,"mixta",9305,"particular","turismo","diesel","M","gris","soltero","anual",1,1,"basico","telefonico",0,1,1,1,9.509,0,10,0,"fin_estudio",0,NA,0,"1","1"
17,"1","1",9.256,0.9256,25,"18-25",3,147,2171,6,13704,820,"mixta",14567,"particular","turismo","diesel","M","otro","casado","anual",0,1,"basico","presencial",1,3,1,3,1.751,1,10,0,"fin_estudio",3212.35,3212.35,1,"1","1"
18,"1","1",5.217,0.5217,54,"35-65",29,157,2540,10,23245,488,"mixta",3740,"particular","turismo","gasolina","M","rojo","casado","anual",1,1,"basico","presencial",0,2,0,2,5.217,0,5.217,1,"baja",0,NA,0,"1","1"
19,"1","1",4.629,0.4629,52,"35-65",32,113,1435,8,28316,3217,"urbana",17659,"particular","turismo","diesel","M","blanco","soltero","anual",0,1,"superior","presencial",0,0,0,1,4.629,0,6.286,0,"fin_estudio",0,NA,0,"1","1"
20,"1","1",6.806,0.6806,36,"35-65",7,148,2566,9,32904,849,"mixta",26701,"particular","moto","diesel","H","blanco","casado","anual",0,1,"basico","presencial",0,4,0,0,6.806,0,8.757,0,"fin_estudio",0,NA,0,"1","1"
21,"1","1",8.866,0.8866,47,"35-65",27,55,800,11,22343,583,"mixta",8796,"particular","turismo","diesel","M","gris","soltero","anual",1,2,"superior","presencial",0,0,0,0,8.866,0,10,0,"fin_estudio",0,NA,0,"1","1"
22,"1","1",8.215,0.8215,52,"35-65",21,141,1714,10,28770,2652,"urbana",8824,"particular","turismo","diesel","M","otro","soltero","mensual",0,2,"superior","telefonico",0,3,1,1,8.215,0,10,0,"fin_estudio",0,NA,0,"2","2"
23,"1","1",7.901,0.7901,40,"35-65",9,141,2017,8,24089,298,"mixta",19718,"particular","turismo","gasolina","M","blanco","casado","anual",1,1,"medio","telefonico",0,1,3,4,7.901,0,9.763,0,"fin_estudio",0,NA,0,"1","1"
24,"1","1",1.835,0.1835,62,"35-65",26,111,1500,12,33990,247,"mixta",28398,"particular","turismo","gasolina","H","negro","soltero","mensual",1,1,"medio","telefonico",1,2,0,0,0.257,1,1.835,1,"baja",3244.79,3244.79,1,"5","4"
25,"1","1",2.885,0.2885,72,"65+",53,123,1757,9,32783,303,"mixta",8252,"particular","turismo","gasolina","M","otro","casado","mensual",0,1,"basico","presencial",0,1,0,0,2.885,0,4.223,0,"fin_estudio",0,NA,0,"3","3"
26,"1","1",3.81,0.381,50,"35-65",23,67,839,6,16946,318,"mixta",15392,"comercial","turismo","gasolina","M","gris","soltero","anual",1,2,"superior","telefonico",1,0,0,2,2.182,1,3.81,1,"baja",586.73,586.73,1,"2","1"
27,"1","1",3.088,0.3088,48,"35-65",12,179,2861,17,27347,577,"mixta",20528,"particular","turismo","gasolina","M","otro","casado","mensual",0,1,"basico","telematico",1,2,0,2,2.997,1,3.088,1,"baja",3981.49,3981.49,1,"2","1"
28,"1","1",7.234,0.7234,58,"35-65",24,165,2135,12,36211,572,"mixta",12935,"particular","moto","diesel","M","blanco","casado","mensual",0,1,"basico","presencial",1,5,0,0,6.242,1,10,0,"fin_estudio",5795.42,5795.42,1,"2","2"
29,"1","1",3.696,0.3696,66,"65+",18,138,2245,3,27119,977,"mixta",11929,"comercial","turismo","diesel","M","blanco","soltero","anual",1,1,"medio","presencial",0,2,0,1,3.696,0,3.696,1,"baja",0,NA,0,"1","1"
30,"1","1",1.796,0.1796,37,"35-65",13,66,1122,10,21291,287,"mixta",14985,"particular","turismo","gasolina","M","gris","casado","mensual",0,1,"medio","telefonico",0,1,0,2,1.796,0,4.751,0,"fin_estudio",0,NA,0,"3","3"
31,"1","1",2.693,0.2693,31,"25-35",7,55,800,2,11397,310,"mixta",12000,"particular","turismo","gasolina","H","rojo","otro","anual",0,2,"superior","telefonico",0,1,0,0,2.693,0,10,0,"fin_estudio",0,NA,0,"3","3"
32,"1","1",6.28,0.628,40,"35-65",11,94,1167,16,33390,220,"mixta",15211,"particular","furgoneta","gasolina","H","otro","soltero","mensual",1,1,"medio","presencial",0,0,0,2,6.28,0,10,0,"fin_estudio",0,NA,0,"1","1"
