"id_poliza","k","t_k","coste_k","anio"
4,1,0.6537,807.7,1
4,2,0.8615,669.44,1
4,3,3.5634,1638.07,4
5,1,0.3772,3453.7,1
5,2,2.624,1368.69,3
9,1,0.5421,533.35,1
23,1,0.4812,4328.06,1
29,1,5.7686,1000.4,6
29,2,5.8166,2821.93,6
30,1,1.443,1818.44,2
30,2,5.7948,4691.57,6
30,3,6.0339,1945.61,7
31,1,2.6932,2435.51,3
33,1,2.0434,1902.13,3
35,1,0.7542,1885.3,1
35,2,4.5689,1907.22,5
35,3,7.1002,981.35,8
37,1,1.0977,5847.12,2
37,2,2.7207,1794.76,3
39,1,1.8716,4322.33,2
39,2,2.8051,4407.15,3
44,1,0.2021,141.45,1
44,2,0.3041,1396.42,1
44,3,1.3509,2335.36,2
44,4,1.4118,1567.67,2
44,5,1.6326,2510.8,2
44,6,1.8418,8061.83,2
44,7,1.95,5933.45,2
44,8,4.5337,2661.63,5
45,1,1.9223,2459.59,2
46,1,0.5827,2577.52,1
51,1,1.3403,2281.16,2
51,2,1.9998,2825.13,2
51,3,2.1308,5401.14,3
51,4,2.5374,3482.05,3
51,5,2.7935,2413.2,3
52,1,4.4044,2649.96,5
52,2,6.0464,3005.8,7
53,1,6.3072,1164.48,7
58,1,0.5579,917.38,1
64,1,2.6237,256.21,3
65,1,5.3376,308.33,6
66,1,1.9015,4199.58,2
66,2,2.553,1295.46,3
66,3,5.005,3818.74,6
66,4,5.982,1992.37,6
66,5,6.0364,862.8,7
68,1,0.5041,478.58,1
73,1,1.4623,1266.66,2
74,1,0.028,5225.01,1
74,2,1.6022,6377.12,2
74,3,1.8399,1171.09,2
77,1,0.2157,3891.21,1
79,1,0.1069,1633.13,1
79,2,6.5211,1445.26,7
83,1,0.1534,389.38,1
84,1,1.3895,5906.33,2
84,2,1.9108,913.53,2
84,3,2.5431,2344.81,3
84,4,3.0798,2291.96,4
96,1,3.0275,702.35,4
103,1,2.9554,1547.51,3
106,1,0.9414,11070.72,1
108,1,4.4074,5259.68,5
112,1,4.8269,6541.29,5
117,1,3.6168,1401.5,4
117,2,4.2394,1924.37,5
119,1,1.0013,1204.05,2
120,1,0.0709,980.15,1
122,1,0.2871,1543.14,1
122,2,0.4363,2891.39,1
128,1,0.6972,6759.16,1
128,2,1.3536,6423.96,2
128,3,3.4841,8210.68,4
131,1,1.1794,2712.79,2
132,1,0.1278,5036.58,1
132,2,0.5574,1845.65,1
132,3,2.7633,5116.19,3
132,4,3.8848,4991.9,4
132,5,4.1522,2586.94,5
132,6,4.2688,6199.65,5
132,7,6.9109,9071.7,7
132,8,7.4143,4491.29,8
134,1,1.8919,4351.85,2
134,2,1.9095,1676.44,2
135,1,0.8525,3410.28,1
141,1,3.9277,791.76,4
149,1,1.3408,2298.26,2
153,1,1.0672,6885.23,2
156,1,0.8975,3265.72,1
161,1,2.2612,1528.8,3
161,2,2.4132,4380.41,3
164,1,3.4489,269.24,4
165,1,0.3764,1300.13,1
167,1,0.3045,676.9,1
170,1,1.4775,744.59,2
170,2,1.4953,4451.86,2
173,1,4.6658,1338.08,5
173,2,6.3903,4099.45,7
176,1,4.9198,557.08,5
178,1,2.9997,425.48,3
181,1,1.0946,588.82,2
182,1,0.6281,2119.52,1
182,2,2.6797,2502.02,3
