"id_poliza","anio","tstart","tstop","expo_anual","n_partes_anual","edad_t","antig_veh_t","en_riesgo"
1,1,0,1,1,0,63,9,1
1,2,1,2,1,0,64,10,1
1,3,2,2.247,0.247,0,65,11,1
2,1,0,1,1,0,32,7,1
2,2,1,2,1,0,33,8,1
2,3,2,2.552,0.552,0,34,9,1
3,1,0,0.566,0.566,0,67,9,1
4,1,0,1,1,2,21,6,1
4,2,1,2,1,0,22,7,1
4,3,2,3,1,0,23,8,1
4,4,3,3.99,0.99,1,24,9,1
5,1,0,1,1,1,45,3,1
5,2,1,2,1,0,46,4,1
5,3,2,3,1,1,47,5,1
5,4,3,3.557,0.557,0,48,6,1
6,1,0,1,1,0,38,6,1
6,2,1,1.619,0.619,0,39,7,1
7,1,0,1,1,0,49,10,1
7,2,1,2,1,0,50,11,1
7,3,2,3,1,0,51,12,1
7,4,3,3.151,0.151,0,52,13,1
8,1,0,1,1,0,53,11,1
8,2,1,2,1,0,54,12,1
8,3,2,2.7,0.7,0,55,13,1
9,1,0,1,1,1,39,10,1
9,2,1,2,1,0,40,11,1
9,3,2,3,1,0,41,12,1
9,4,3,4,1,0,42,13,1
9,5,4,5,1,0,43,14,1
9,6,5,6,1,0,44,15,1
9,7,6,6.526,0.526,0,45,16,1
10,1,0,1,1,0,44,0,1
10,2,1,1.616,0.616,0,45,1,1
11,1,0,1,1,0,57,10,1
11,2,1,2,1,0,58,11,1
11,3,2,2.504,0.504,0,59,12,1
12,1,0,1,1,0,30,6,1
12,2,1,2,1,0,31,7,1
12,3,2,2.018,0.018,0,32,8,1
13,1,0,1,1,0,33,4,1
13,2,1,2,1,0,34,5,1
13,3,2,3,1,0,35,6,1
13,4,3,4,1,0,36,7,1
13,5,4,5,1,0,37,8,1
13,6,5,5.939,0.939,0,38,9,1
14,1,0,1,1,0,67,7,1
14,2,1,1.44,0.44,0,68,8,1
15,1,0,1,1,0,44,10,1
15,2,1,2,1,0,45,11,1
15,3,2,3,1,0,46,12,1
15,4,3,4,1,0,47,13,1
15,5,4,5,1,0,48,14,1
15,6,5,6,1,0,49,15,1
15,7,6,6.302,0.302,0,50,16,1
16,1,0,1,1,0,38,8,1
16,2,1,2,1,0,39,9,1
16,3,2,3,1,0,40,10,1
16,4,3,4,1,0,41,11,1
16,5,4,5,1,0,42,12,1
16,6,5,5.922,0.922,0,43,13,1
17,1,0,1,1,0,51,9,1
17,2,1,2,1,0,52,10,1
17,3,2,3,1,0,53,11,1
17,4,3,4,1,0,54,12,1
17,5,4,4.243,0.243,0,55,13,1
18,1,0,1,1,0,26,19,1
18,2,1,2,1,0,27,20,1
18,3,2,3,1,0,28,21,1
18,4,3,4,1,0,29,22,1
18,5,4,4.634,0.634,0,30,23,1
19,1,0,1,1,0,45,4,1
19,2,1,2,1,0,46,5,1
19,3,2,3,1,0,47,6,1
19,4,3,4,1,0,48,7,1
19,5,4,4.874,0.874,0,49,8,1
20,1,0,1,1,0,52,9,1
20,2,1,2,1,0,53,10,1
20,3,2,3,1,0,54,11,1
20,4,3,3.84,0.84,0,55,12,1
21,1,0,1,1,0,61,10,1
21,2,1,2,1,0,62,11,1
21,3,2,3,1,0,63,12,1
21,4,3,4,1,0,64,13,1
21,5,4,5,1,0,65,14,1
21,6,5,5.124,0.124,0,66,15,1
22,1,0,1,1,0,50,2,1
22,2,1,2,1,0,51,3,1
22,3,2,3,1,0,52,4,1
22,4,3,3.188,0.188,0,53,5,1
23,1,0,1,1,1,75,7,1
23,2,1,2,1,0,76,8,1
23,3,2,3,1,0,77,9,1
23,4,3,4,1,0,78,10,1
23,5,4,5,1,0,79,11,1
23,6,5,5.425,0.425,0,80,12,1
24,1,0,1,1,0,61,7,1
24,2,1,2,1,0,62,8,1
24,3,2,3,1,0,63,9,1
24,4,3,3.117,0.117,0,64,10,1
25,1,0,1,1,0,66,7,1
25,2,1,2,1,0,67,8,1
25,3,2,3,1,0,68,9,1
25,4,3,3.315,0.315,0,69,10,1
26,1,0,1,1,0,45,16,1
26,2,1,2,1,0,46,17,1
26,3,2,3,1,0,47,18,1
26,4,3,4,1,0,48,19,1
26,5,4,4.628,0.628,0,49,20,1
27,1,0,1,1,0,52,9,1
27,2,1,2,1,0,53,10,1
27,3,2,3,1,0,54,11,1
27,4,3,4,1,0,55,12,1
27,5,4,5,1,0,56,13,1
27,6,5,5.164,0.164,0,57,14,1
28,1,0,1,1,0,18,11,1
28,2,1,1.288,0.288,0,19,12,1
29,1,0,1,1,0,27,9,1
29,2,1,2,1,0,28,10,1
29,3,2,3,1,0,29,11,1
29,4,3,4,1,0,30,12,1
29,5,4,5,1,0,31,13,1
29,6,5,6,1,2,32,14,1
29,7,6,6.712,0.712,0,33,15,1
30,1,0,1,1,0,18,3,1
30,2,1,2,1,1,19,4,1
30,3,2,3,1,0,20,5,1
30,4,3,4,1,0,21,6,1
30,5,4,5,1,0,22,7,1
30,6,5,6,1,1,23,8,1
30,7,6,7,1,1,24,9,1
30,8,7,8,1,0,25,10,1
30,9,8,8.429,0.429,0,26,11,1
31,1,0,1,1,0,36,8,1
31,2,1,2,1,0,37,9,1
31,3,2,3,1,1,38,10,1
31,4,3,4,1,0,39,11,1
31,5,4,4.448,0.448,0,40,12,1
32,1,0,1,1,0,60,11,1
32,2,1,2,1,0,61,12,1
32,3,2,3,1,0,62,13,1
32,4,3,4,1,0,63,14,1
32,5,4,5,1,0,64,15,1
32,6,5,6,1,0,65,16,1
32,7,6,7,1,0,66,17,1
32,8,7,8,1,0,67,18,1
32,9,8,9,1,0,68,19,1
32,10,9,9.524,0.524,0,69,20,1
33,1,0,1,1,0,53,1,1
33,2,1,2,1,0,54,2,1
33,3,2,3,1,1,55,3,1
33,4,3,4,1,0,56,4,1
33,5,4,5,1,0,57,5,1
33,6,5,6,1,0,58,6,1
33,7,6,7,1,0,59,7,1
33,8,7,7.733,0.733,0,60,8,1
34,1,0,1,1,0,79,1,1
34,2,1,1.073,0.073,0,80,2,1
35,1,0,1,1,1,35,0,1
35,2,1,2,1,0,36,1,1
35,3,2,3,1,0,37,2,1
35,4,3,4,1,0,38,3,1
