"id_poliza","id_agencia","id_region","antiguedad","exposicion","edad_conductor","edad_tramo","antiguedad_carnet","potencia_cv","cilindrada","antiguedad_vehiculo","valor_vehiculo","densidad","zona_circulacion","km_anuales","uso","tipo_vehiculo","combustible","sexo","color_vehiculo","estado_civil","forma_pago","financiado","n_conductores","nivel_estudios","medio_contacto","n_siniestros","n_asistencia","n_fraude","n_gestiones","t_primer_sin","evento","t_baja","baja","motivo_fin","coste_total","coste_medio","tuvo_siniestro","bonus_malus_prev","bonus_malus_act"
1,"1","1",1.772,0.1772,47,"35-65",20,85,1357,7,23928,21,"rural",5585,"particular","moto","gasolina","M","negro","casado","anual",1,2,"medio","presencial",0,0,0,0,1.772,0,10,0,"fin_estudio",0,NA,0,"3","3"
2,"1","1",1.248,0.1248,28,"25-35",9,95,1530,9,21136,1114,"urbana",9837,"particular","turismo","gasolina","M","blanco","soltero","anual",1,1,"basico","presencial",0,0,0,1,1.248,0,4.586,0,"fin_estudio",0,NA,0,"2","2"
3,"1","1",4.173,0.4173,36,"35-65",6,95,1181,10,26496,1951,"urbana",38805,"particular","turismo","gasolina","M","otro","casado","anual",1,1,"medio","presencial",1,0,0,1,1.444,1,5.817,0,"fin_estudio",2980.21,2980.21,1,"3","3"
4,"1","1",1.685,0.1685,19,"18-25",1,55,872,12,12719,55,"rural",8896,"particular","turismo","diesel","H","negro","casado","mensual",0,1,"basico","presencial",0,2,0,0,1.685,0,1.685,1,"baja",0,NA,0,"3","2"
5,"1","1",2.149,0.2149,34,"25-35",12,112,1623,17,34171,135,"rural",9008,"particular","turismo","diesel","H","gris","casado","mensual",0,1,"superior","presencial",3,1,0,0,1.246,1,2.149,1,"baja",5517.92,1839.31,1,"4","4"
6,"1","1",5.772,0.5772,56,"35-65",20,121,1794,9,18185,117,"rural",9509,"comercial","turismo","gasolina","M","rojo","casado","mensual",1,2,"basico","presencial",0,0,0,2,5.772,0,5.772,1,"baja",0,NA,0,"3","3"
7,"1","1",2.309,0.2309,38,"35-65",7,70,1232,3,25533,41,"rural",16412,"particular","furgoneta","diesel","M","gris","casado","mensual",0,1,"basico","presencial",0,1,0,0,2.309,0,8.705,0,"fin_estudio",0,NA,0,"1","1"
8,"1","1",2.178,0.2178,55,"35-65",37,88,1189,9,20513,364,"mixta",24971,"comercial","moto","gasolina","M","gris","otro","anual",1,1,"superior","presencial",0,1,0,0,2.178,0,2.654,0,"fin_estudio",0,NA,0,"1","1"
9,"1","1",1.071,0.1071,53,"35-65",23,104,1615,6,14653,1025,"urbana",6868,"particular","turismo","gasolina","H","otro","casado","anual",1,1,"basico","telefonico",0,0,0,0,1.071,0,1.071,1,"baja",0,NA,0,"3","2"
10,"1","1",3.204,0.3204,46,"35-65",10,148,2054,12,26232,30,"rural",13876,"particular","turismo","diesel","M","negro","soltero","mensual",0,2,"basico","telefonico",1,1,0,1,2.705,1,10,0,"fin_estudio",257.54,257.54,1,"5","5"
11,"1","1",2.983,0.2983,47,"35-65",14,122,1716,16,18431,109,"rural",6060,"particular","moto","diesel","M","negro","otro","mensual",0,2,"superior","presencial",0,0,0,0,2.983,0,6.608,0,"fin_estudio",0,NA,0,"1","1"
12,"1","1",6.9,0.69,54,"35-65",29,84,1052,5,18603,286,"mixta",24029,"particular","turismo","diesel","H","blanco","casado","mensual",0,1,"medio","presencial",1,4,0,2,3.381,1,6.991,0,"fin_estudio",499.15,499.15,1,"1","1"
13,"1","1",3.747,0.3747,43,"35-65",24,83,1224,4,17735,409,"mixta",10698,"particular","moto","gasolina","H","negro","soltero","anual",0,1,"medio","telematico",0,3,0,1,3.747,0,3.747,1,"baja",0,NA,0,"3","3"
14,"1","1",5.024,0.5024,53,"35-65",17,165,2388,8,36788,559,"mixta",30225,"comercial","turismo","gasolina","M","rojo","soltero","mensual",0,1,"basico","telefonico",2,0,0,0,1.015,1,5.024,1,"baja",7768.73,3884.37,1,"4","3"
15,"1","1",4.168,0.4168,53,"35-65",19,64,914,10,13019,1109,"urbana",43151,"particular","furgoneta","diesel","M","gris","casado","anual",0,1,"superior","telematico",0,4,0,1,4.168,0,4.271,0,"fin_estudio",0,NA,0,"1","1"
16,"1","1",6.302,0.6302,24,"18-25",2,55,800,15,12978,40,"rural",36087,"particular","moto","gasolina","M","gris","soltero","anual",0,1,"medio","presencial",0,5,0,4,6.302,0,8.165,0,"fin_estudio",0,NA,0,"1","1"
17,"1","1",3.022,0.3022,54,"35-65",17,115,1846,2,15823,1912,"urbana",31106,"particular","turismo","diesel","H","negro","casado","mensual",0,2,"medio","presencial",0,1,0,1,3.022,0,6.775,0,"fin_estudio",0,NA,0,"1","1"
18,"1","1",5.82,0.582,26,"25-35",5,104,1558,14,15533,395,"mixta",17009,"particular","turismo","diesel","M","gris","casado","mensual",0,2,"medio","telefonico",4,4,1,0,1.108,1,10,0,"fin_estudio",5616.94,1404.24,1,"4","4"
19,"1","1",1.857,0.1857,53,"35-65",20,93,1215,12,28149,204,"mixta",10240,"particular","turismo","diesel","H","negro","soltero","mensual",0,1,"basico","presencial",0,1,0,0,1.857,0,1.857,1,"baja",0,NA,0,"1","1"
20,"1","1",7.367,0.7367,45,"35-65",23,138,2029,12,30286,147,"rural",17808,"particular","turismo","gasolina","H","gris","casado","anual",0,2,"superior","presencial",1,4,0,0,0.846,1,7.367,1,"baja",469.54,469.54,1,"2","2"
21,"1","1",5.317,0.5317,38,"35-65",16,106,1435,13,15531,119,"rural",9047,"comercial","furgoneta","gasolina","M","rojo","soltero","anual",0,2,"basico","presencial",0,3,0,1,5.317,0,10,0,"fin_estudio",0,NA,0,"4","4"
22,"1","1",2.862,0.2862,46,"35-65",27,139,1695,15,19538,31,"rural",7362,"comercial","turismo","gasolina","H","gris","otro","mensual",0,2,"basico","presencial",0,1,1,0,2.862,0,2.862,1,"baja",0,NA,0,"2","2"
23,"1","1",1.23,0.123,34,"25-35",7,127,1890,11,27214,976,"mixta",12826,"particular","turismo","gasolina","M","blanco","otro","anual",0,1,"medio","presencial",1,1,0,0,1.026,1,1.23,1,"baja",1476.22,1476.22,1,"2","3"
24,"1","1",5.373,0.5373,30,"25-35",10,107,1843,2,15146,878,"mixta",12966,"particular","turismo","gasolina","M","blanco","soltero","anual",0,1,"basico","telefonico",0,5,0,2,5.373,0,10,0,"fin_estudio",0,NA,0,"3","3"
25,"1","1",0.849,0.0849,40,"35-65",17,84,1142,9,4476,276,"mixta",15800,"particular","turismo","diesel","M","otro","soltero","mensual",1,1,"medio","presencial",0,1,0,0,0.849,0,0.849,1,"baja",0,NA,0,"3","3"
26,"1","1",1.211,0.1211,29,"25-35",9,65,1092,1,23588,71,"rural",5483,"particular","turismo","gasolina","M","otro","soltero","anual",0,1,"basico","telematico",0,0,0,0,1.211,0,1.211,1,"baja",0,NA,0,"3","2"
27,"1","1",6.494,0.6494,47,"35-65",19,70,887,3,30099,1169,"urbana",11326,"particular","moto","diesel","H","negro","casado","mensual",1,1,"basico","telefonico",0,3,0,4,6.494,0,6.494,1,"baja",0,NA,0,"1","1"
28,"1","1",7.77,0.777,32,"25-35",7,158,2474,7,32713,1334,"urbana",28047,"particular","furgoneta","gasolina","M","otro","casado","mensual",0,1,"basico","presencial",1,5,0,3,7.583,1,7.77,1,"baja",4963.59,4963.59,1,"1","2"
29,"1","1",0.516,0.0516,63,"35-65",45,78,1017,14,20590,1147,"urbana",17835,"particular","turismo","gasolina","M","gris","casado","mensual",0,1,"basico","presencial",0,0,0,1,0.516,0,0.516,1,"baja",0,NA,0,"3","3"
30,"1","1",4.735,0.4735,48,"35-65",18,107,1675,0,27233,77,"rural",18563,"particular","turismo","gasolina","H","blanco","casado","mensual",1,1,"superior","telefonico",0,4,0,1,4.735,0,4.735,1,"baja",0,NA,0,"1","1"
31,"1","1",9.082,0.9082,60,"35-65",38,164,2011,12,32214,896,"mixta",6628,"particular","turismo","gasolina","H","blanco","casado","mensual",1,1,"medio","telematico",1,5,1,5,3.833,1,10,0,"fin_estudio",4526.39,4526.39,1,"1","1"
32,"1","1",1.749,0.1749,51,"35-65",13,87,1093,9,16912,1462,"urbana",24837,"particular","moto","diesel","M","rojo","soltero","mensual",0,2,"medio","telefonico",0,0,0,0,1.749,0,8.963,0,"fin_estudio",0,NA,0,"5","5"
33,"1","1",2.045,0.2045,33,"25-35",11,128,1798,1,37407,46,"rural",28805,"particular","turismo","gasolina","M","negro","casado","anual",0,2,"basico","presencial",0,2,0,1,2.045,0,2.045,1,"baja",0,NA,0,"1","1"
34,"1","1",3.114,0.3114,25,"18-25",5,55,903,0,22648,170,"mixta",19802,"comercial","turismo","diesel","M","gris","soltero","anual",0,1,"medio","presencial",2,0,0,0,1.71,1,10,0,"fin_estudio",3297.44,1648.72,1,"5","4"
35,"1","1",6.867,0.6867,55,"35-65",17,73,1097,12,26864,144,"rural",7895,"particular","furgoneta","gasolina","M","negro","soltero","anual",1,1,"superior","presencial",0,5,0,0,6.867,0,9.833,0,"fin_estudio",0,NA,0,"1","1"
36,"1","1",0.662,0.0662,23,"18-25",5,91,1163,7,30457,242,"mixta",25397,"particular","turismo","diesel","H","blanco","casado","anual",1,1,"basico","presencial",0,0,0,0,0.662,0,0.662,1,"baja",0,NA,0,"2","2"
37,"1","1",1.109,0.1109,63,"35-65",44,98,1476,13,28640,92,"rural",8688,"particular","turismo","diesel","M","rojo","soltero","anual",1,2,"superior","presencial",0,0,0,0,1.109,0,1.109,1,"baja",0,NA,0,"1","1"
38,"1","1",3.768,0.3768,31,"25-35",9,159,2123,2,19080,101,"rural",7603,"particular","furgoneta","gasolina","H","rojo","casado","anual",0,1,"medio","presencial",0,1,0,2,3.768,0,4.155,0,"fin_estudio",0,NA,0,"2","2"
39,"1","1",1.301,0.1301,28,"25-35",6,115,1994,7,17427,108,"rural",21754,"particular","moto","diesel","M","gris","casado","anual",1,1,"basico","presencial",0,0,0,0,1.301,0,10,0,"fin_estudio",0,NA,0,"4","3"
40,"1","1",3.255,0.3255,49,"35-65",17,73,1104,10,31653,85,"rural",7408,"particular","turismo","diesel","H","gris","soltero","mensual",0,1,"medio","telefonico",0,0,0,3,3.255,0,3.255,1,"baja",0,NA,0,"1","1"
41,"1","1",1.16,0.116,24,"18-25",4,178,2769,17,26062,288,"mixta",27810,"particular","turismo","gasolina","H","gris","soltero","anual",0,1,"medio","telematico",0,3,1,2,1.16,0,1.16,1,"baja",0,NA,0,"1","1"
42,"1","1",1.981,0.1981,18,"18-25",0,73,1261,7,14779,194,"mixta",18013,"particular","turismo","diesel","M","blanco","soltero","anual",1,2,"medio","telematico",0,1,0,0,1.981,0,6.566,0,"fin_estudio",0,NA,0,"4","3"
