"id_poliza","k","t_k","coste_k","anio"
3,1,0.7362,1373.53,1
8,1,0.7309,775.51,1
8,2,3.7603,2049.8,4
11,1,1.1011,3225.82,2
18,1,3.9777,3765.19,4
25,1,0.7426,617.36,1
25,2,0.9253,1535.97,1
31,1,0.6181,2141.42,1
38,1,0.1906,3740.07,1
38,2,0.8053,2898.16,1
38,3,0.8288,1675.55,1
38,4,0.8296,3725.6,1
38,5,4.6143,2854.28,5
43,1,6.6437,4012.27,7
43,2,8.5401,3777.49,9
44,1,5.3182,2806.03,6
48,1,0.9916,626.75,1
51,1,2.0878,1017.09,3
51,2,4.2244,1066.71,5
55,1,1.1771,7417.37,2
55,2,1.8145,2642.35,2
55,3,4.0748,1515.5,5
55,4,5.1464,3908.99,6
55,5,5.5682,5409.78,6
56,1,0.1903,343.23,1
58,1,0.8866,1867.32,1
70,1,2.8027,2312.57,3
71,1,0.2413,2980.14,1
73,1,4.4852,238.27,5
77,1,3.4958,1525.19,4
84,1,3.7336,2295.82,4
84,2,4.0832,1677.55,5
84,3,5.678,893.45,6
85,1,7.4568,368.69,8
88,1,2.6582,1014.06,3
89,1,2.908,5449.85,3
90,1,1.6729,3131.71,2
97,1,4.0865,3096,5
97,2,7.2225,5408.9,8
99,1,0.9367,2656.06,1
99,2,7.9284,1223.78,8
104,1,1.6094,6855.12,2
104,2,2.523,2747.85,3
104,3,4.2716,324.06,5
104,4,4.8798,1195.34,5
106,1,0.7207,1390.83,1
108,1,1.7354,1438.78,2
109,1,2.9912,1046.55,3
109,2,3.4087,943.24,4
110,1,0.4275,4678.44,1
110,2,1.6316,2338.89,2
110,3,2.0971,2287.45,3
110,4,3.6122,775.76,4
110,5,6.0254,655.07,7
110,6,6.2559,4078.55,7
110,7,6.5134,1020.31,7
110,8,6.7714,6127.82,7
111,1,7.0462,935.18,8
117,1,1.9486,146.3,2
117,2,1.9794,2049.22,2
117,3,3.6218,2268.18,4
117,4,5.1295,839.81,6
139,1,7.753,2006.06,8
143,1,1.0182,1760.74,2
153,1,2.7136,2283.59,3
160,1,5.615,4201.73,6
163,1,4.4721,19450.52,5
164,1,5.5557,1612.39,6
165,1,5.0938,3567.65,6
168,1,4.8243,679.82,5
168,2,6.1691,1089.69,7
170,1,0.9998,586.68,1
170,2,5.9624,5573.59,6
172,1,1.5198,2698.44,2
176,1,0.4687,3887.66,1
176,2,1.4721,1770.03,2
176,3,1.7759,344.33,2
176,4,1.864,5681.54,2
176,5,2.1208,3506.87,3
176,6,2.7805,1138.84,3
176,7,3.3236,915.04,4
176,8,3.9656,3967.55,4
178,1,9.0828,553.61,10
181,1,3.336,2375.66,4
181,2,4.5085,2266.53,5
181,3,4.7827,373.05,5
181,4,6.2569,276.62,7
187,1,2.144,2010.61,3
190,1,2.7214,2048.51,3
190,2,4.8919,3318.91,5
193,1,2.5066,2840.3,3
193,2,3.74,2178.09,4
203,1,2.009,1204.12,3
204,1,3.7624,3661.05,4
208,1,3.8738,220.5,4
208,2,4.9161,1495.65,5
208,3,7.4834,1250.87,8
209,1,0.8886,2130.44,1
210,1,3.8951,895.77,4
211,1,1.7391,2823.61,2
212,1,4.7645,4280.81,5
212,2,4.7973,2822.21,5
212,3,7.4512,829.12,8
213,1,0.4764,5673.97,1
213,2,2.758,1621.57,3
214,1,1.3161,2764.82,2
214,2,2.5168,384.5,3
216,1,0.1447,572.84,1
217,1,1.2561,1745.71,2
221,1,0.4168,1615.93,1
226,1,5.2284,1639.89,6
227,1,5.1023,5572.33,6
227,2,5.1037,5766.6,6
228,1,1.481,1422.01,2
228,2,2.263,2297.69,3
228,3,4.7766,788.11,5
228,4,6.3793,860.22,7
233,1,3.4846,4961.98,4
