"id_poliza","anio","tstart","tstop","expo_anual","n_partes_anual","edad_t","antig_veh_t","en_riesgo"
1,1,0,1,1,0,33,6,1
1,2,1,2,1,0,34,7,1
1,3,2,2.277,0.277,0,35,8,1
2,1,0,1,1,3,59,15,1
2,2,1,2,1,0,60,16,1
2,3,2,3,1,0,61,17,1
2,4,3,4,1,0,62,18,1
2,5,4,5,1,0,63,19,1
2,6,5,6,1,1,64,20,1
2,7,6,6.409,0.409,1,65,21,1
3,1,0,1,1,0,64,4,1
3,2,1,2,1,0,65,5,1
4,1,0,1,1,0,18,10,1
4,2,1,2,1,0,19,11,1
4,3,2,3,1,0,20,12,1
4,4,3,4,1,0,21,13,1
4,5,4,5,1,0,22,14,1
4,6,5,6,1,0,23,15,1
4,7,6,6.174,0.174,0,24,16,1
5,1,0,1,1,0,39,5,1
5,2,1,2,1,0,40,6,1
5,3,2,3,1,0,41,7,1
5,4,3,4,1,0,42,8,1
5,5,4,4.638,0.638,0,43,9,1
6,1,0,1,1,0,39,11,1
6,2,1,2,1,0,40,12,1
6,3,2,3,1,0,41,13,1
6,4,3,4,1,0,42,14,1
6,5,4,5,1,0,43,15,1
6,6,5,6,1,0,44,16,1
6,7,6,7,1,0,45,17,1
6,8,7,7.81,0.81,0,46,18,1
7,1,0,1,1,2,20,3,1
7,2,1,2,1,1,21,4,1
7,3,2,3,1,2,22,5,1
7,4,3,4,1,1,23,6,1
7,5,4,5,1,0,24,7,1
7,6,5,6,1,0,25,8,1
7,7,6,7,1,1,26,9,1
7,8,7,8,1,0,27,10,1
7,9,8,9,1,0,28,11,1
7,10,9,9.103,0.103,0,29,12,1
8,1,0,1,1,0,38,7,1
8,2,1,2,1,1,39,8,1
8,3,2,2.756,0.756,0,40,9,1
9,1,0,1,1,0,67,9,1
9,2,1,1.01,0.01,0,68,10,1
10,1,0,1,1,0,39,5,1
10,2,1,2,1,0,40,6,1
10,3,2,2.758,0.758,1,41,7,1
11,1,0,1,1,3,18,6,1
11,2,1,2,1,0,19,7,1
11,3,2,3,1,0,20,8,1
11,4,3,3.464,0.464,0,21,9,1
12,1,0,1,1,0,50,4,1
12,2,1,2,1,0,51,5,1
12,3,2,2.296,0.296,0,52,6,1
13,1,0,0.572,0.572,0,42,2,1
14,1,0,1,1,0,38,10,1
14,2,1,2,1,0,39,11,1
14,3,2,3,1,0,40,12,1
14,4,3,4,1,0,41,13,1
14,5,4,5,1,0,42,14,1
14,6,5,5.376,0.376,1,43,15,1
15,1,0,1,1,1,74,10,1
15,2,1,2,1,1,75,11,1
15,3,2,2.603,0.603,0,76,12,1
16,1,0,1,1,0,18,12,1
16,2,1,2,1,0,19,13,1
16,3,2,3,1,1,20,14,1
16,4,3,4,1,1,21,15,1
16,5,4,5,1,0,22,16,1
16,6,5,5.747,0.747,0,23,17,1
17,1,0,1,1,1,48,7,1
17,2,1,2,1,0,49,8,1
17,3,2,3,1,0,50,9,1
17,4,3,3.302,0.302,0,51,10,1
18,1,0,0.541,0.541,0,28,8,1
19,1,0,1,1,0,43,10,1
19,2,1,2,1,0,44,11,1
19,3,2,3,1,0,45,12,1
19,4,3,4,1,1,46,13,1
19,5,4,5,1,0,47,14,1
19,6,5,5.522,0.522,0,48,15,1
20,1,0,1,1,1,23,11,1
20,2,1,2,1,1,24,12,1
20,3,2,3,1,0,25,13,1
20,4,3,4,1,0,26,14,1
20,5,4,5,1,1,27,15,1
20,6,5,5.263,0.263,0,28,16,1
21,1,0,1,1,0,55,17,1
21,2,1,2,1,0,56,18,1
