"id_poliza","k","t_k","coste_k","anio"
2,1,1.5874,2331.78,2
2,2,2.6722,10599.62,3
2,3,5.3732,4832.25,6
2,4,5.6544,4077.6,6
2,5,5.896,7384.83,6
2,6,7.3439,5177.99,8
2,7,7.471,8519.02,8
2,8,7.7947,4101.15,8
7,1,0.294,1770.29,1
7,2,1.6146,2049.75,2
8,1,0.4311,1432.83,1
8,2,0.6826,473.7,1
8,3,1.7689,1850.93,2
8,4,2.266,4887.71,3
8,5,2.3305,2085.24,3
8,6,2.6732,12609.94,3
8,7,3.1966,2058.23,4
9,1,2.0518,1351.54,3
10,1,0.9043,2056.78,1
13,1,2.0282,390.76,3
17,1,6.2954,3979.4,7
22,1,2.0297,403.33,3
22,2,3.6381,1321.32,4
22,3,3.7138,1478.08,4
23,1,4.2063,93.27,5
26,1,1.6921,3360.72,2
27,1,3.6323,4062.74,4
27,2,5.0581,7299.76,6
27,3,7.5379,4964.42,8
28,1,1.2616,2212.37,2
28,2,2.4515,1534.5,3
31,1,6.9731,1127.39,7
32,1,0.1339,1634.47,1
32,2,3.5319,689.95,4
33,1,3.1193,5999.83,4
34,1,1.2375,1386.42,2
34,2,1.2564,8918.86,2
34,3,2.5109,7169.33,3
35,1,1.8642,2462.52,2
36,1,0.2093,211.06,1
36,2,1.4594,1596.03,2
36,3,1.8046,6010.53,2
41,1,2.1756,1521.57,3
46,1,0.1992,329.63,1
46,2,1.4961,510.78,2
48,1,5.9114,6673.53,6
48,2,8.2215,3125.47,9
48,3,8.4888,24349.05,9
52,1,3.8969,1538.64,4
55,1,3.7741,892.96,4
55,2,4.6434,2035.13,5
55,3,5.1622,1501.9,6
58,1,4.901,5857.13,5
59,1,1.4928,3046.71,2
60,1,2.885,5109.43,3
63,1,4.6411,2547.86,5
65,1,2.8804,2467.44,3
71,1,5.9697,946.88,6
71,2,6.1569,2464.11,7
71,3,6.511,5083.55,7
71,4,7.9983,6270.4,8
73,1,2.1444,1093.76,3
76,1,0.5449,4586.46,1
76,2,4.9405,237.8,5
77,1,2.0361,2789.35,3
77,2,5.3161,775.44,6
77,3,5.6091,1537.54,6
81,1,0.1683,2572.41,1
81,2,0.5928,2141.81,1
81,3,3.8035,5388.25,4
81,4,5.3209,2198.03,6
81,5,7.5957,802.63,8
86,1,0.4765,7326.82,1
86,2,3.7265,7009.28,4
86,3,4.3121,9817.23,5
87,1,1.5834,358.91,2
89,1,1.5224,1418.45,2
89,2,2.959,980.68,3
89,3,4.427,57.73,5
89,4,4.7646,2645.83,5
89,5,6.9313,1099.57,7
89,6,8.1255,354.75,9
93,1,1.7625,1295.06,2
94,1,0.5304,2570.71,1
94,2,0.8635,3756.19,1
94,3,0.9816,3187.48,1
94,4,1.0904,2683.8,2
94,5,1.7038,975.12,2
94,6,1.98,2389.31,2
94,7,2.5355,1884.25,3
94,8,2.8402,676.54,3
94,9,3.2095,1149.81,4
